Year    LAIUnit Area    L<=9
      83E8      SNS           58
      84B1      Or/Sh       1795
      84B2      Or/Sh       1912
      84C1      Buchan      2327
      84C2      Buchan      1853
      84D1      CNS          688
      84D2      CNS         2404
      84D3      CNS          824
      84D4      CNS          433
      84E6      SNS          523
      84E7      SNS          185
      84E8      SNS           39
      85B1      Or/Sh       5632
      85B2      Or/Sh       3432
      85C1      Buchan      2521
      85C2      Buchan      1812
      85D1      CNS          130
      85D2      CNS        13039
      85D3      CNS         1794
      85D4      CNS          215
      85E6      SNS         1851
      85E7      SNS          407
      85E8      SNS           38
      86B1      Or/Sh       3529
      86B2      Or/Sh       1842
      86C1      Buchan      3278
      86C2      Buchan       341
      86D1      CNS         1611
      86D2      CNS         6112
      86D3      CNS          188
      86D4      CNS           36
      86E6      SNS          780
      86E7      SNS          123
      86E8      SNS           18
      87B1      Or/Sh       7409
      87B2      Or/Sh       1848
      87C1      Buchan      2551
      87C2      Buchan       670
      87D1      CNS          799
      87D2      CNS         4927
      87D3      CNS         1992
      87D4      CNS          113
      87E6      SNS          934
      87E7      SNS          297
      87E8      SNS          146
      88B1      Or/Sh       7538
      88B2      Or/Sh       8832
      88C1      Buchan      6812
      88C2      Buchan      5248
      88D1      CNS         5533
      88D2      CNS         3808
      88D3      CNS         1960
      88D4      CNS          206
      88E6      SNS         1679
      88E7      SNS          162
      88E8      SNS          112
      89B1      Or/Sh      11477
      89B2      Or/Sh       5725
      89C1      Buchan      5879
      89C2      Buchan       692
      89D1      CNS         1442
      89D2      CNS         5010
      89D3      CNS         2364
      89D4      CNS            2
      89E6      SNS         1514
      89E7      SNS         2120
      89E8      SNS          512
      90B2      Or/Sh      10144
      90C1      Buchan      4590
      90C2      Buchan      2045
      90D1      CNS        19965
      90D2      CNS         1239
      90D3      CNS          975
      90E6      SNS         2552
      90E7      SNS         1204
      91B1      Or/Sh       1021
      91B2      Or/Sh       2397
      91C2      Buchan      2032
      91D1      CNS         4823
      91D2      CNS         2110
      91D3      CNS         1249
      91E6      SNS         4400
      91E7      SNS          873
      92B1      Or/Sh        189
      92B2      Or/Sh       4917
      92C2      Buchan       822
      92D1      CNS           10
      92D2      CNS          165
      92D3      CNS          163
      92E6      SNS          176
      92E7      SNS         1616
      93B2      Or/Sh         66
      93C2      Buchan       174
      93D2      CNS          685
      93D3      CNS           85
      93E6      SNS         1358
      93E7      SNS         1103
      94B1      Or/Sh         26
      94B2      Or/Sh       1179
      94D2      CNS         1464
      94D3      CNS           44
      94E6      SNS          537
      94E7      SNS          595
      95B2      Or/Sh       8688
      95D3      CNS           43
      95E6      SNS           74
      95E7      SNS          230
      95E8      SNS          164
      96B2      Or/Sh        809
      96C2      Buchan       184
      96D2      CNS          564
      96E6      SNS          337
      96E7      SNS          675
      96E8      SNS          691
      97B2      Or/Sh       3611
      97C2      Buchan        23
      97E6      SNS         9374
      97E7      SNS          918
      97E8      SNS          355
      98B2      Or/Sh       8528
      98C2      Buchan      1490
      98D1      CNS          205
      98D2      CNS           66
      98E6      SNS         1522
      98E7      SNS          953
      98E8      SNS          170
      99B2      Or/Sh       4064
      99C2      Buchan       185
      99D2      CNS          134
      99D3      CNS          181
      99E6      SNS          804
      99E7      SNS         1260
      99E8      SNS          344
     100B2      Or/Sh       3972
     100C1      Buchan        28
     100C2      Buchan       155
     100D2      CNS          376
     100E6      SNS         7346
     100E7      SNS          338
     100E8      SNS          106
     101B2      Or/Sh      11918
     101C2      Buchan       164
     101D2      CNS         1604
     101E6      SNS          971
     101E7      SNS         5531
     101E8      SNS          909
     102B2      Or/Sh       6669
     102C2      Buchan      1038
     102D3      CNS         3291
     102E6      SNS         2008
     102E7      SNS          260
     102E8      SNS          925
     103B2      Or/Sh       3199
     103C2      Buchan      2263
     103D2      CNS        12018
     103D3      CNS         3277
     103E6      SNS        12048
     103E7      SNS         3109
     103E8      SNS         1116
     104B2      Or/Sh       7055
     104C2      Buchan      3884
     104D2      CNS         5545
     104E6      SNS         6528
     104E7      SNS         2052
     104E8      SNS         4175
     105B2      Or/Sh       3380
     105C2      Buchan      1364
     105D2      CNS         5614
     105E6      SNS          498
     105E7      SNS         3999
     105E8      SNS         4822
     106B1      Or/Sh       6311
     106B2      Or/Sh       2312
     106C2      Buchan       280
     106D2      CNS         2259
     106E6      SNS        10858
     106E7      SNS         2700
     106E8      SNS         2106
     107B2      Or/Sh       1753
     107C2      Buchan      1304
     107D2      CNS          291
     107E6      SNS         4443
     107E7      SNS         2439
     107E8      SNS         3854
     108B1      Or/Sh       4978
     108B2      Or/Sh       6875
     108C2      Buchan       533
     108D2      CNS        11201
     108E6      SNS         8426
     108E7      SNS         2317
     108E8      SNS         4008
     109B2      Or/Sh       7543
     109C2      Buchan      4629
     109D2      CNS         4219
     109E6      SNS        15295
     109E7      SNS        14712
     109E8      SNS         1689
     110B2      Or/Sh       2362
     110C2      Buchan      1493
     110D2      CNS         2317
     110E6      SNS         7493
     110E7      SNS        13230
     110E8      SNS         8073
     111B2      Or/Sh       3831
     111C2      Buchan      2839
     111D2      CNS        17766
     111E6      SNS         5461
     111E7      SNS         6160
     111E8      SNS         1215
     112B2      Or/Sh      19552
     112C2      Buchan      5856
     112D2      CNS          517
     112E6      SNS        22768
     112E7      SNS        11103
     112E8      SNS         3285
     113B2      Or/Sh      21282
     113C2      Buchan      8618
     113D2      CNS         7354
     113E6      SNS            5
     113E7      SNS         9314
     113E8      SNS         2957
     114B2      Or/Sh       6604
     114C2      Buchan      5033
     114D2      CNS         1149
     114E8      SNS         1851
     115B2      Or/Sh       9631
     115C1      Buchan        17
     115C2      Buchan      3614
     115D2      CNS         3424
     115E6      SNS         2011
     115E7      SNS         1200
     115E8      SNS          645
