"Year","Recruits Age 0 (Thousands) Mean","Recruits Age 0 (Thousands) Low","Recruits Age 0 (Thousands) High","Total biomass (tonnes) Mean","Total biomass (tonnes) Low","Total biomass (tonnes) High","Spawing biomass (tonnes) Mean","Spawing biomass (tonnes) Low","Spawing biomass (tonnes) High","Landings (tonnes) Mean","Landings (tonnes) Low","Landings (tonnes) High","Yield / SSB (ratio) Mean","Yield / SSB (ratio) Low","Yield / SSB (ratio) High","Mean F ages 3-6 Mean","Mean F ages 3-6 Low","Mean F ages 3-6 High","SoP (%)","WG Catch"
1975,2120155.51480952,1310575.35362873,3429836.67023136,667303.337247915,544109.17769829,818390.429997711,236333.683852285,188441.256368722,296397.992666231,145947.172059002,121546.910269354,175245.730103847,0.61754706176468,0.645012204925677,0.59125140668948,0.584464053227332,0.47087170999371,0.725459232875734,1.00047589279155,149727
1976,1377801.95352719,840956.82504706,2257355.1538001,528606.723225637,422975.526761975,660617.577519062,187399.878417457,145288.165861118,241717.652795259,117712.442342275,98093.3563481812,141255.428481833,0.628135105189641,0.675164117922375,0.584381930108679,0.601348888240489,0.474829636158776,0.761579433654287,1.00172644730094,124784
1977,1282087.28606609,776958.020329295,2115619.84828427,395932.887553912,306677.872361877,511164.533128756,156529.536064196,117942.960383696,207740.212563457,58337.4772333242,49024.7896310119,69419.1913022672,0.372693094863571,0.415665245908045,0.334163474878809,0.386265624425991,0.293877813020788,0.507697845848086,1.00055421263439,56924
1978,1438339.67088624,873033.493443109,2369692.59986353,383080.335717838,289813.821219417,506361.439203368,148598.007099267,110863.877620938,199175.495100157,38445.6179135245,32428.1398912046,45579.7200120507,0.25872229825964,0.292504110329621,0.2288420068399,0.272123301789487,0.202918430680346,0.364930337419491,1.00057936279449,41682
1979,1369559.89271464,835483.935981241,2245039.33463377,386930.357098462,291581.256811992,513459.276776757,158895.177057003,119289.763534531,211649.99027488,23482.2477554237,19748.2136867845,27922.3208940721,0.147784521785703,0.165548267526474,0.13192687066892,0.155657063883298,0.115162535072409,0.210390658051551,1.00005183199285,21261
1980,1473277.39872676,908211.717993507,2389912.23147222,460008.386582422,357357.943032468,592144.990343582,207108.895677886,158479.67014444,270659.918902022,33289.5895178864,28071.4251681572,39477.7523275325,0.160734715951851,0.177129502746772,0.145857401005959,0.175678440084645,0.133431585588507,0.231301413188276,1.00007149192271,31570
1981,1990706.18383642,1225934.04851757,3232564.68417418,586542.260562601,465112.225215479,739674.867214041,244751.820850646,191103.338502521,313461.053475612,67914.1712887997,57159.1339157376,80692.8717402155,0.277481781556357,0.299100656030579,0.257425510587374,0.305532232063401,0.239024314001775,0.390545812125837,1.00011133622378,74037
1982,1638022.04206705,1005405.19768952,2668691.40567747,600789.55852795,481064.001746372,750312.000743946,239426.078758147,188006.910666339,304908.191865557,106937.518111519,90312.6050074083,126622.776288133,0.446641062102265,0.480368539046359,0.415281647611371,0.419823875374744,0.331450633167795,0.531759691179837,0.999830077663272,114211
1983,2589563.79351684,1537757.89318242,4360790.90890926,591844.967294738,455630.74922868,768781.443976477,192721.226225613,149648.187258501,248191.920786491,98814.5361561134,83269.7852278061,117261.171372486,0.51273301904189,0.556436978979015,0.472461678046968,0.466107026791731,0.363945626591211,0.596945654930626,1.00135670613651,98134
1984,1737573.22601136,1061483.05846203,2844285.35310393,614153.391979936,473658.179388635,796321.915874659,231885.733198678,175873.87538556,305736.102893104,81226.7576843753,67389.2911997333,97905.5580857977,0.350287861887479,0.383168284954197,0.320228972500604,0.334907802986946,0.257358609243537,0.435824691589793,0.99893963856752,81509
1985,2122276.73075554,1300647.01179463,3462936.89299429,648229.448596136,501961.548938388,837118.737313536,275681.088452467,207023.004722974,367109.262238928,63513.0070920493,52340.9475675335,77069.7180189548,0.230385796314788,0.252826721540309,0.209936729868709,0.29311214375542,0.225117317849865,0.381644245042917,0.998374367836137,63077
1986,1887945.95547538,1153820.53689405,3089163.19030916,694536.503062167,545003.774876341,885096.53753366,303458.456885779,232142.619268361,396683.01902394,94750.2726013844,79095.672260315,113503.228450857,0.312234740708011,0.340720168100107,0.286130797154206,0.323033256422253,0.24977589078992,0.417776449219158,0.999955852066715,103425
1987,2336115.34768267,1360087.50832657,4012561.60671105,709985.623343134,546484.705537815,922403.829870876,292728.254910234,221998.166097894,385993.419355565,95894.1252623679,80948.4490852442,113599.251915883,0.32758752752369,0.364635665726844,0.294303597469467,0.356151171221777,0.27096088616871,0.468125339255297,0.999731076140518,94365
1988,1294972.47750754,765653.349539753,2190225.79671344,700115.079640601,535769.869548778,914872.508887026,339422.186698244,253792.732728244,453942.946216587,65643.9027288245,55718.5029410722,77337.3608050577,0.193398974201954,0.219543334996651,0.170368019702983,0.244411988525766,0.18170521551534,0.328758973514859,0.999268370070933,65555
1989,1364092.59502888,816141.315735055,2279934.33482379,719275.69105195,545492.317092859,948423.109779914,401514.93111149,293730.864443896,548850.18709451,64990.7349833193,54535.1954340025,77450.8205216501,0.161863806168825,0.185663823708996,0.141114683647385,0.200367920486071,0.147508481966202,0.272169457815391,0.998383526907304,63886
1990,1419762.26990211,847685.692134498,2377915.44878142,758425.611658887,570881.6504543,1007580.83214343,420416.009983978,303135.38503612,583071.558702354,80983.4425664853,68056.6060648089,96365.6336854923,0.192626923436078,0.224508946907335,0.165272396238907,0.222662078469901,0.162459457605342,0.305173991833553,0.999190422164487,88141
1991,1422604.63586042,837398.381669807,2416775.56856033,730146.151047333,540525.34136286,986287.526399897,408399.034023793,291261.975321367,572645.196159019,66969.9975285328,56885.8871299819,78841.709169863,0.163981772602898,0.195308320171956,0.13767985778749,0.183819680346889,0.130850058883296,0.258232018932211,1.00003194027666,68315
1992,1910737.78441342,1132940.2471442,3222516.7125874,654744.262863405,482260.643004585,888917.758417346,358972.118460879,254301.334719886,506725.542648969,57641.6110539745,49225.9833526738,67495.9665324229,0.160574061576474,0.193573436831924,0.133200245204889,0.167160642130062,0.118224348635505,0.236353006803058,0.998982850403761,61051
1993,1882290.60487636,1108095.351614,3197394.44448099,706444.555273813,512004.964364985,974724.747630095,412916.222385822,289073.656094269,589814.405826645,63322.7535937108,54259.1282542896,73900.3970704746,0.153354966844928,0.187700010396642,0.125294323672716,0.171735461613696,0.119710949030986,0.246369016488502,1.00050013227124,68042
1994,2211098.48048783,1313863.77413486,3721052.81130445,614767.852550997,448707.272604657,842285.239408535,324486.755761806,227866.224251324,462076.61978324,55215.5557704159,47196.2934552662,64597.3947493481,0.170162740974697,0.207122813441676,0.13979801613778,0.163867025528237,0.114141085918696,0.235256234329148,0.99935838744496,58367
1995,1542631.06444799,907516.657205434,2622222.50369257,556821.499575362,406771.954890689,762221.138064136,260667.25815667,183175.502078204,370941.630862336,55603.420603946,47353.2038750046,65291.0495986801,0.213311871222915,0.258512756005919,0.176014348799019,0.171255274896304,0.119633879998702,0.245151032300605,0.998905937410689,55984
1996,1779779.43202941,1070603.21507934,2958719.7031163,477347.492283601,354093.258672963,643504.564993405,268069.083358285,190452.176492796,377317.995393292,59219.1352962695,50172.3461305688,69897.1895017921,0.220909977959378,0.26343802971696,0.185247431490607,0.203518168090204,0.142970980912109,0.289706655704174,0.999596418457438,60030
1997,2147897.46850297,1285623.53517339,3588502.70626017,487477.785413888,362779.176885053,655039.226100133,218600.250357351,155941.029696491,306436.795686824,66369.9717170962,56439.5616905385,78047.6143645635,0.303613429575673,0.361928876578455,0.254694003667652,0.264292191998726,0.186678984071634,0.374173681621752,0.999529532802705,62693
1998,1744537.43805387,1030044.74395983,2954639.4859234,542530.725684838,400062.794492372,735733.470755749,282377.469727411,201034.939441092,396632.722805975,69494.299040907,58697.1234290747,82277.5856302834,0.246104262879019,0.291974736293411,0.207440236015353,0.261400909096414,0.185405566876236,0.368545758510285,0.999088624759585,72271
1999,1442661.16890481,830228.630271848,2506865.18433397,518139.6088068,375072.417634313,715778.184671031,294784.541300476,207308.727840458,419171.574178041,46490.3479936139,38994.4372374003,55427.199613342,0.157709586087915,0.188098386612116,0.132230339621741,0.152391867502184,0.106638144811967,0.217776493784211,0.999856884479702,55843
2000,2273884.13516446,1346598.04057276,3839712.30045261,517104.365177897,379873.658960389,703910.150595407,243287.706660452,171900.035863339,344321.674599054,55714.7387261702,47524.5110958909,65316.4449195942,0.229007620199771,0.276465975456067,0.18969600155335,0.199468290529411,0.140877748022204,0.282426426354107,1.38931775483631,43008
2001,1988716.47267398,1183552.65752895,3341628.42990203,570917.502947705,415559.88065764,784355.782026454,321901.21765765,226982.908346255,456511.878733214,55215.5557704159,46875.8398541153,65038.9968163579,0.171529502659847,0.206517046572545,0.142469451171427,0.185129444237066,0.129572073569539,0.26450847145802,1.45129449846277,40007
2002,1788700.61355759,1055851.38558823,3030208.5393948,605009.839187155,440867.299066287,830265.493241384,357539.097938774,251712.388696115,507858.22349492,57988.5003475117,49056.9682929971,68546.1472561766,0.162187857724701,0.194892943279888,0.13497102948233,0.186243559907154,0.129496218375826,0.267858506155149,1.14022299960583,50740
2003,1786912.8069963,1046312.6714298,3051723.89381849,634124.1281618,456358.333964886,881135.239546,369534.727474469,257181.46391788,530971.061169609,57125.1640520101,48555.9917446215,67206.62580907,0.154586727051132,0.188800510755806,0.12657304837109,0.160445653697213,0.110509830298924,0.232945863012303,1.30729867886863,44583
2004,1748030.00433207,1015134.01883213,3010054.67195408,590072.0930339,420242.329973415,828534.038918532,352921.171224828,243519.524246287,511471.733053877,55215.5557704159,47071.8539169271,64768.1649508937,0.156452942674955,0.193298069477666,0.126630976386864,0.144814741249929,0.0981361773566117,0.213696007406906,1.32878915542726,40186
2005,1404230.46646413,814041.966864265,2422311.48173085,552937.359429072,391103.222386451,781736.651482488,328404.053610579,225901.784062213,477416.426238398,47619.6133252245,40602.0403803218,55850.0891088943,0.145003122835054,0.179733155047328,0.116984012361999,0.137215856254502,0.0929301819025578,0.202605771582354,1.73917457180501,30360
2006,1292385.12077171,738344.059332215,2262169.34948018,569207.317000422,400062.634467287,809865.610564319,352216.034254394,240766.677411884,515254.586388081,45161.4894797786,38776.3157338878,52598.0896697134,0.128220992480881,0.161053498560154,0.102081749603481,0.122395215343358,0.0825588092662548,0.181453546533528,0.998952104686392,46539
2007,986580.299983184,534395.991371311,1821384.71102155,561855.512148581,386366.623699324,817051.984224734,378132.521825324,254540.999441554,561733.490383384,44002.4238991447,37786.531175393,51240.8323487735,0.116367731838393,0.148449684955642,0.0912191158725493,0.12081437526782,0.0803725965360437,0.181605595693403,1.01827657012621,46509
2008,1109034.08416102,593853.063559866,2071146.34124789,534988.216284967,355374.840453256,805381.695560457,363669.221016809,237005.351492625,558026.649955574,30181.9698428097,25914.0206744888,35152.8354104102,0.0829929180105529,0.10933939048754,0.0629949042992998,0.0843905373813877,0.0541209457920414,0.131589769825617,0.620385976381274,47420
2009,1384708.21455937,726008.643947625,2641038.58191326,609259.765449532,387676.303081627,957493.297488091,348362.889028806,218718.151395607,554854.280168964,30822.4931653362,26382.7113102863,36009.4182039883,0.0884781190420874,0.120624242395715,0.064898874336921,0.0881601704643601,0.0544695635655881,0.142689148719657,1.01525886789889,29432
2010,1843174.65712585,920281.425931799,3691580.33721173,447754.334275474,276048.20907286,726264.24397326,230960.042880773,139706.517821309,381818.559644555,28940.5788004203,24748.5316756351,33842.6987217149,0.125305565583741,0.177146578853892,0.0886355518003629,0.103043917307614,0.0615621774164128,0.172476824890009,1.00325092806261,29901
2011,1280805.83961004,639545.597974887,2565045.56355901,466493.795932017,278514.666655853,781346.505934499,324486.755761806,190209.314494498,553556.774780699,24538.5345575366,20878.0339900747,28840.8227765924,0.0756226074618264,0.109763467922485,0.0521009300049091,0.0879048763254335,0.0509480700155727,0.151669479912151,0.821600726376116,30012
2012,871525.148417203,420052.591383397,1808240.44394563,463239.741837201,268716.983826746,798576.462720915,343519.789383621,195153.166801095,604683.222068553,24197.3886669962,20182.172818712,29011.4262503398,0.0704395770340149,0.103417091044606,0.0479778918804709,0.0780582450146764,0.0439269698567955,0.13870953618324,1.01757683741648,24695
2013,498819.70658661,215764.583262814,1153206.40633626,400712.703744043,226096.95710652,710185.015299488,244507.191364924,132789.28134454,450215.303703968,26265.1961112947,21910.5496720587,31485.3135631057,0.107420955451957,0.165002396655863,0.0699339034103744,0.0966750426809369,0.0526000188959471,0.177681758933381,1.06990963399578,25109
2014,435391.105834307,131082.005170641,1446158.95059621,328732.621920964,176184.81353877,613362.380925366,212564.340427328,109583.44578715,412321.391216952,25387.1901248933,21037.8223285452,30635.7479577615,0.11943296826672,0.191979930704207,0.0743006514101564,0.0972860180012863,0.0507750797937718,0.186401859671869,1.01440271307718,26833
