"Fbar","Yield","SSB","Recruits","Yield.Recruit","SSB.Recruit","Spawners","Landings"
"0.333","11978","42962","367503","0.0326","0.117","361407","11978"
"0.343","11791","41296","360006","0.0328","0.115","348980","11791"
"0.354","11602","39706","352583","0.0329","0.113","337048","11602"
"0.364","11411","38188","345234","0.0331","0.111","325580","11411"
"0.374","11217","36737","337955","0.0332","0.109","314547","11217"
"0.384","11021","35349","330748","0.0333","0.107","303922","11021"
"0.394","10824","34019","323610","0.0334","0.105","293681","10824"
"0.404","10626","32745","316541","0.0336","0.103","283803","10626"
"0.414","10427","31522","309538","0.0337","0.102","274266","10427"
"0.424","10227","30348","302602","0.0338","0.1","265051","10227"
"0.434","10026","29219","295731","0.0339","0.099","256141","10026"
"0.444","9824","28133","288924","0.034","0.097","247520","9824"
"0.455","9623","27088","282180","0.0341","0.096","239172","9623"
"0.465","9421","26081","275497","0.0342","0.095","231083","9421"
"0.475","9219","25110","268875","0.0343","0.093","223241","9219"
"0.485","9017","24174","262313","0.0344","0.092","215632","9017"
"0.495","8815","23270","255809","0.0345","0.091","208247","8815"
"0.505","8614","22397","249363","0.0345","0.09","201073","8614"
"0.515","8412","21553","242974","0.0346","0.089","194101","8412"
"0.525","8211","20737","236640","0.0347","0.088","187323","8211"
"0.535","8010","19947","230360","0.0348","0.087","180728","8010"
"0.545","7810","19182","224134","0.0348","0.086","174309","7810"
"0.556","7610","18441","217961","0.0349","0.085","168059","7610"
"0.566","7411","17722","211839","0.035","0.084","161969","7411"
"0.576","7213","17026","205768","0.0351","0.083","156033","7213"
"0.586","7015","16350","199747","0.0351","0.082","150245","7015"
"0.596","6817","15693","193775","0.0352","0.081","144598","6817"
"0.606","6620","15056","187851","0.0352","0.08","139088","6620"
"0.616","6424","14436","181974","0.0353","0.079","133707","6424"
"0.626","6229","13834","176143","0.0354","0.079","128452","6229"
"0.636","6034","13248","170358","0.0354","0.078","123318","6034"
"0.646","5840","12678","164617","0.0355","0.077","118299","5840"
"0.657","5647","12123","158920","0.0355","0.076","113392","5647"
"0.667","5454","11583","153267","0.0356","0.076","108592","5454"
"0.677","5262","11056","147655","0.0356","0.075","103895","5262"
"0.687","5071","10543","142085","0.0357","0.074","99298","5071"
"0.697","4881","10043","136556","0.0357","0.074","94797","4881"
"0.707","4691","9555","131067","0.0358","0.073","90389","4691"
"0.717","4502","9079","125617","0.0358","0.072","86070","4502"
"0.727","4314","8614","120205","0.0359","0.072","81838","4314"
"0.737","4126","8161","114832","0.0359","0.071","77689","4126"
"0.747","3940","7718","109496","0.036","0.07","73621","3940"
"0.758","3754","7285","104196","0.036","0.07","69631","3754"
"0.768","3569","6861","98933","0.0361","0.069","65716","3569"
"0.778","3384","6448","93704","0.0361","0.069","61875","3384"
"0.788","3201","6043","88510","0.0362","0.068","58104","3201"
"0.798","3018","5648","83351","0.0362","0.068","54402","3018"
"0.808","2835","5260","78224","0.0362","0.067","50766","2835"
"0.818","2654","4881","73131","0.0363","0.067","47195","2654"
"0.828","2473","4510","68070","0.0363","0.066","43686","2473"
"0.838","2293","4147","63041","0.0364","0.066","40237","2293"
"0.848","2113","3791","58042","0.0364","0.065","36847","2113"
"0.859","1935","3442","53075","0.0365","0.065","33515","1935"
"0.869","1757","3100","48137","0.0365","0.064","30237","1757"
"0.879","1579","2765","43230","0.0365","0.064","27014","1579"
"0.889","1402","2436","38351","0.0366","0.064","23842","1402"
"0.899","1226","2114","33501","0.0366","0.063","20722","1226"
"0.909","1051","1798","28679","0.0366","0.063","17650","1051"
"0.919","876","1487","23885","0.0367","0.062","14627","876"
"0.929","702","1183","19118","0.0367","0.062","11650","702"
"0.939","528","884","14377","0.0368","0.061","8719","528"
"0.949","355","590","9663","0.0368","0.061","5832","355"
"0.96","183","302","4975","0.0368","0.061","2989","183"
"0.97","12","19","312","0.0369","0.06","187","12"
"0.98","-160","-259","-4325","0.0369","0.06","-2574","-160"
"0.99","-330","-533","-8938","0.0369","0.06","-5295","-330"
"1","-500","-802","-13527","0.037","0.059","-7978","-500"
