"Year","Recruits Age 0 (Thousands) Mean","Recruits Age 0 (Thousands) Low","Recruits Age 0 (Thousands) High","Total biomass (tonnes) Mean","Total biomass (tonnes) Low","Total biomass (tonnes) High","Spawing biomass (tonnes) Mean","Spawing biomass (tonnes) Low","Spawing biomass (tonnes) High","Landings (tonnes) Mean","Landings (tonnes) Low","Landings (tonnes) High","Yield / SSB (ratio) Mean","Yield / SSB (ratio) Low","Yield / SSB (ratio) High","Mean F ages 3-6 Mean","Mean F ages 3-6 Low","Mean F ages 3-6 High","SoP (%)","WG Catch"
1972,4139145.81651342,2547856.05308839,6724292.00605479,1762070.3307909,1374700.43514828,2258595.23374535,693842.313711628,532898.364913499,903393.945250424,158419.205839636,134302.027608034,186867.206890625,0.228321626843701,0.252021842157152,0.20685018742164,0.275628867812408,0.214530019362132,0.354128867360557,1.03490143972799,188230
1973,2280716.03028872,1372473.02739295,3789994.78095147,1538010.1061578,1236860.90547042,1912482.70212232,753135.170523864,576897.79610488,983211.565219588,244507.191364924,205678.831341948,290665.627761036,0.32465246735835,0.356525597307977,0.295628772121003,0.364073321113328,0.288327122907347,0.459718745187504,1.03312268562568,246989
1974,2681803.30175996,1652567.67009058,4352057.15293731,1096901.56045168,895414.483401062,1343727.46434839,461390.4838515,357540.528098025,595404.330024251,221018.1270529,187138.05397309,261031.957150715,0.479026193188751,0.52340375220843,0.438411250956276,0.488595661328705,0.388408833312679,0.614624848341321,1.10694015338837,214749
1975,2937296.03461751,1782335.60534146,4840675.33023716,836515.22493291,662035.196219123,1056979.63724718,288370.09897124,223941.559117318,371334.888925725,147413.965523656,124714.280006559,174245.300780848,0.511197124977782,0.556905473455348,0.469240316429575,0.480681687641139,0.377073330439209,0.612758490674492,0.980579674663699,152765
1976,1891725.62579676,1126403.98252274,3177035.85820186,689691.724050106,532416.842472554,893425.294388069,246224.746132823,183512.708461562,330367.450387622,120933.973247107,103160.373440363,141769.803632853,0.491152799003682,0.562142939882393,0.429127637927144,0.475209271686144,0.360889305729073,0.625742709222885,0.988849156310073,126409
1977,1861698.87039527,1097305.73343064,3158575.20692532,542530.725684838,401972.758347396,732237.650934895,212564.340427328,153585.454815462,294191.913391764,58337.4772333242,50329.6315973038,67619.4349519327,0.274446208221217,0.327697903800698,0.229848040934716,0.288546219392218,0.210204334482048,0.396085651281622,0.920003036764231,61908
1978,2094865.69105151,1234252.89293591,3555561.65892868,543616.872921395,394186.568375996,749693.998307305,207316.108162538,148428.583150562,289566.65752218,38793.1902039434,33533.6724247963,44877.6259019733,0.187120964925355,0.225924627945687,0.154982021362511,0.198354389935103,0.142082017513138,0.276913748095451,0.996062883618734,41871
1979,1880409.25510315,1115482.048565,3169875.27609822,534453.495473648,388926.943869384,734432.374322539,215992.723802635,156611.077878223,297889.889832425,22448.9697219661,19418.9198538041,25951.8163405482,0.103933916507664,0.123994548258609,0.0871188221767014,0.10979942354127,0.078780891908043,0.153030933237813,0.937978736544909,22668
1980,2026863.33325246,1216202.18713317,3377871.71832595,622189.50765257,467050.74854117,828860.214103316,274580.566609705,203598.256446594,370310.084553615,32467.6666241491,28154.2365118262,37441.9450363745,0.118244590376635,0.138283288880774,0.101109709398026,0.13043242531622,0.0961697134386144,0.176902030437373,1.03753720013145,30430
1981,2887784.04633736,1733571.69192257,4810471.20066439,796514.011886616,606905.515639109,1045359.70556078,319655.777344018,240502.653083661,424859.412897472,70403.6227261203,60795.2269037466,81530.5797083294,0.220248241127051,0.252784017657379,0.191900137394401,0.244436430946719,0.184392765735227,0.324032065660132,0.969914896125331,76342
1982,2299034.93645496,1364323.96475259,3874125.04331328,813417.673376889,621890.430841118,1063930.68384568,321258.058595783,240262.847271972,429557.634001998,109864.163015212,95196.6927352445,126791.529917977,0.341981033862397,0.396218948606249,0.295167679216212,0.327129225871169,0.246400652301195,0.434307009415947,1.02350646685011,111569
1983,4016815.57034144,2319101.53676766,6957352.69471037,842391.374035041,611971.872211791,1159568.37114739,265667.285908695,194103.189252808,363616.420079358,98715.7710107605,85341.9153291315,114185.4317268,0.371576691022046,0.439672916543266,0.314027159999758,0.345383460319324,0.253699698700199,0.470200537380681,1.01819625742143,96511
1984,2605147.88179053,1524377.67078002,4452174.56020916,905280.391900015,657452.633411344,1246527.19650131,343519.789383621,244727.444783237,482192.938363284,81145.5715265354,69295.3968880479,95022.2391973021,0.236218040515614,0.283153354334349,0.197062693451791,0.232375658305488,0.166650712301683,0.324021696799933,0.975564580288035,83462
1985,3308481.89450082,1930470.66688071,5670146.99266402,974812.086880221,704972.447873341,1347937.22448923,414156.831035497,291692.078744414,588037.499789837,62380.0006137073,52915.9434020148,73536.7117430615,0.150619272553688,0.181410285907629,0.125054459569914,0.197108685368063,0.140474795185334,0.276575123645969,1.00783323997759,62485
1986,2744199.58433822,1588214.20263214,4741571.60048158,1039239.75604384,755287.084252678,1429945.37184586,465096.411668654,327980.160743878,659535.844047529,98518.5367687257,84635.8927665793,114678.321097398,0.211823902092181,0.258051866840422,0.17387731407231,0.226706284544052,0.160627381015455,0.319968732147999,1.03888973269445,99549
1987,3395630.44560918,1886946.36401254,6110563.78869674,1000489.56183202,708109.484609932,1413594.06290996,414571.195013992,285974.635841419,600994.82329837,95798.2790681899,83075.0886225637,110470.062982685,0.23107799147733,0.290498100917702,0.183812004197316,0.256481177276909,0.177398546941472,0.37081811227604,1.01484103915663,92960
1988,1769132.72749094,987429.913926789,3169673.67844153,964147.914403351,673102.971070762,1381038.62380754,466493.795932017,315848.769347564,688989.423934068,65775.3219096565,57430.9479555389,75332.083594864,0.140999349794659,0.181830526280573,0.109337068143549,0.180901969393203,0.122051865199826,0.268128000147809,1.0126143976751,64691
1989,1897409.32395862,1063644.73771074,3384741.17814343,981659.710208929,676387.624694371,1424709.36999019,538207.79465907,357422.416220698,810434.984169872,64215.506835124,55391.3520295069,74445.3992727097,0.119313594995037,0.154974477021341,0.0918585706772815,0.149404184197335,0.0998451493169894,0.223562290290179,1.0086458662787,63236
1990,1996687.26953066,1111667.3907357,3586288.56574391,1023767.49178897,698480.681378267,1500542.39893324,554598.662215562,361477.688698525,850895.327008176,82784.8208086083,71306.4510593306,96110.8911536079,0.149269780922103,0.197263768383782,0.112952660689232,0.173878239102082,0.114959475463015,0.262993910780043,0.993318930319641,88662
1991,1945442.46967881,1068712.48835294,3541407.48243983,976763.661978556,651673.663822905,1464026.09822365,532319.951424576,340809.994468718,831444.309978042,66836.191384222,58132.1112795164,76843.5272765051,0.125556427493197,0.17057044166248,0.0924217369152896,0.141338154637351,0.0909894239089695,0.219547207775238,1.03152972262906,66229
1992,2741456.75639642,1512178.07007386,4970039.76973724,878525.312928414,580620.129418445,1329279.99969449,463703.213276135,293465.803885815,732694.123661085,58512.7524463874,51106.6466928369,66992.1119933718,0.126185781705039,0.174148558421894,0.0914325771559752,0.132244869889737,0.0845832349878625,0.206763262420301,1.00243095938594,60841
1993,2671097.51440202,1463295.43878319,4875817.78931642,946948.510956498,617773.274879584,1451521.97232474,532852.537624718,334300.10951396,849332.138317009,64666.5923403071,56724.2087117339,73721.0489115633,0.12135926503901,0.169680496946906,0.0867988453346943,0.138705818817483,0.0875685293134315,0.219705690213955,0.993216177178623,68541
1994,3087894.42269329,1707349.62636759,5584733.0965166,815046.13664409,533486.582790996,1245205.08347763,413742.881213869,259558.035466551,659517.904916543,54122.2145120568,47187.1288249916,62076.5487672074,0.130811228348556,0.181797988801131,0.0941241296171674,0.129147515105619,0.0813362078958362,0.205063416274781,0.999855171586273,58338
1995,1986728.75022817,1091756.47262522,3615358.57670905,722881.075457008,474916.177963831,1100314.27334042,329720.300563932,206458.354929231,526573.39365721,55381.4511563846,48214.9337070973,63613.1774196659,0.16796494198769,0.233533458714346,0.120805908893067,0.138511766539428,0.087494022695795,0.219277944695475,0.974824376383635,57367
1996,2315184.63902458,1294537.43984552,4140536.80318044,605009.839187155,402321.339387529,909812.305930631,333034.044675642,211132.504759386,525317.856856842,56669.9858798969,49072.1920508108,65444.1378184705,0.170162740974697,0.232423672076146,0.124580074642894,0.162919347702524,0.103321891884476,0.256893416987498,1.02330825900851,58639
1997,2905162.83484457,1616737.5198556,5220371.88678343,611701.685094728,408264.937800824,916510.130806964,263287.007654517,166853.056022634,415455.671307969,65972.9441605452,57574.6036154018,75596.3408846829,0.250574248795119,0.345061726694366,0.181960064828781,0.225395193931894,0.143055587568598,0.35512764171644,1.0032902910756,62458
1998,2725057.26353508,1481981.79398166,5010815.32830029,695231.386949265,457333.242507008,1056880.70858307,332368.642210557,209290.642733921,527825.386179986,72402.7817791762,62875.0988771745,83374.2276827825,0.217838786768906,0.300420019050302,0.157957972211576,0.238020136915771,0.149909305162451,0.377919072575307,0.999406682537925,72248
1999,2652465.12125942,1418531.58576342,4959756.47642089,712118.778345801,455244.90232576,1113934.83349725,361132.425612181,222818.941693676,585303.151685504,50564.2457610817,43409.9258430364,58897.6576148012,0.140015800783789,0.194821524207376,0.100627610572731,0.136408666254623,0.0840060213474641,0.221499886923603,0.999821076193034,55845
2000,3933341.98365623,2126381.78333444,7275823.78745361,776848.010862471,493210.628440208,1223600.62249579,331041.823049129,204080.948399577,536986.374608195,40174.9923424162,34860.2287146302,46300.0407405767,0.12135926503901,0.170815693419731,0.0862220028848199,0.108598248457103,0.066669826815044,0.176895308287938,0.9990478515625,43008
2001,3131428.97541803,1699513.174374,5769797.83148756,834843.866398697,531612.861781025,1311037.2817703,463703.213276135,288210.155612722,746055.146965549,40054.6479722026,34800.1118556425,46102.5766478086,0.086379923247049,0.120745612803473,0.0617951324849415,0.0997089337210639,0.0611933717541489,0.162466476005507,1.00281970655135,40007
2002,3122048.7658413,1688653.4598663,5772166.24248229,907092.764452244,580547.904766812,1417311.60609754,516071.189967143,320356.846892202,831352.523592921,49168.0843541552,42374.6082583792,57050.6871548311,0.0952738407220244,0.13227314686562,0.0686239417524959,0.115995950264282,0.0710635735827947,0.189338359997301,0.999762968072527,50740
2003,1984743.01451128,1060915.52909325,3713024.01145746,895376.876782505,568619.060815503,1409906.57317574,537669.855878629,332367.445685599,869786.971236672,43870.6144404923,38138.7994039478,50463.8541712226,0.0815939632114979,0.114748901852515,0.0580186365627811,0.0896537724555336,0.0547340542106676,0.146851882825483,1.00212381400982,44583
2004,2118036.4190192,1139467.49318613,3936995.39400453,768349.510189725,486116.117868601,1214444.34386841,469770.708316171,288624.322696977,764608.181076861,41274.4936088681,35885.8777627092,47472.2628754751,0.0878609348735492,0.124334212125238,0.0620870454310546,0.0825872474169345,0.0501243079467171,0.136074765224817,1.01193159309212,40186
2005,1701464.65523846,915915.325524728,3160752.84728661,707151.353169134,447336.148032566,1117868.60616624,426769.784308349,264040.769465774,689789.115397209,28911.6526870871,25243.4238702314,33112.9273665794,0.067745313164434,0.0956042656643731,0.0480044213911835,0.0654872376738281,0.0399661673109368,0.107305218055645,1.00210675230567,30360
2006,1762070.3307909,936587.285056111,3315112.10988472,754642.948139936,477537.896427587,1192546.14856245,451350.735373283,276916.141204295,735664.903591554,44981.2043325341,39535.705527939,51176.7455819236,0.0996590917157431,0.14277140132027,0.0695652943780193,0.0994798667015582,0.0608508920400708,0.162631040354232,0.998952104686392,46539
2007,1289802.93357809,657172.092499094,2531439.82596758,730146.151047333,453806.239190299,1174759.96548756,475441.916007785,287919.440643125,785098.133673217,45116.3505635185,39681.1586174102,51296.0094687665,0.0948935065346232,0.137820351862224,0.0653370671367786,0.105346538122291,0.063572620284411,0.174570326733452,0.998988018647035,47407
2008,1451343.15583307,723933.488184987,2909655.36248996,677388.335702028,406429.271913998,1128990.91934072,450448.936002507,264569.696921921,766921.708368103,29525.2172733387,25922.4793544884,33628.6681191595,0.0655462027180242,0.0979797749178303,0.0438488932471561,0.0733362682872415,0.0428758735225408,0.125436703778661,1.0008404096074,29394
2009,1867292.35303531,901151.618087513,3869249.81514656,693148.818203463,400203.961546673,1200526.05756334,420416.009983978,237335.207864431,744725.668986332,30424.3940052746,26626.7332637273,34763.6993776161,0.0723673534850255,0.112190405727484,0.0466798726367711,0.0760929241030976,0.0428612982034877,0.135090007565114,1.0312361609608,28976
2010,2673769.94791047,1230508.43041418,5809830.7639736,698716.248778459,386377.596667253,1263542.19426309,380027.918978592,206377.026360169,699793.100764786,29143.8735535396,25479.9187269278,33334.6968178149,0.0766887696879485,0.123462960855247,0.0476350749691363,0.089420975414445,0.0483716974369454,0.16530556643157,0.996022511454944,30118
2011,1728907.04339239,782384.510430701,3820524.97824414,601390.648581415,319398.36634886,1132349.91254195,305590.118194284,158896.25754788,587712.522491955,24884.4900794068,21663.3471497723,28584.587701564,0.0814309383642637,0.136336421537458,0.0486370233874935,0.0768346168612947,0.0398442012007236,0.148166061065738,0.999184739444039,24678
2012,1123545.64804977,490352.990741805,2574379.7776004,576655.319243606,297050.548419003,1119443.67375109,346278.969704361,174056.980721636,688907.301289343,24785.1509298405,21201.9983921879,28973.8587491506,0.0715756748121349,0.121810675471244,0.0420577031117595,0.0693215121723129,0.0347196732582138,0.138407755571815,1.00167656555188,25087
2013,593623.168164276,245136.284957152,1437520.62589586,473070.639559026,236598.62050147,945888.143973329,276786.021198527,132832.312042292,576745.976585271,26502.6498151534,22703.6621806197,30937.319346842,0.0957514028359987,0.170919724512445,0.0536411533029011,0.0883455013516578,0.0426838606893756,0.182854303313254,0.997801647678777,26947
2014,617849.389235598,242987.577593121,1571018.03952305,360050.651807382,172264.299259616,752544.040895833,214057.51080955,97502.0224648468,469945.307549909,25848.2970597349,22218.8831799055,30070.5690505883,0.120753983179467,0.227881254339275,0.0639873801642221,0.098342401196932,0.0454943107183692,0.212581039705112,1.00909147218228,27123
2015,751630.405449479,267413.331920333,2112640.61645384,310208.521396479,139840.812348391,688134.780762354,175430.810151078,76185.1621292077,403962.770310425,19293.0460176611,16856.1969553519,22082.1829280659,0.109975243237184,0.221253016785136,0.0546639060601968,0.0985097254642968,0.0432617502682658,0.2243128387288,0.998233291425698,19885
2016,684880.740070518,175946.631865422,2665931.27215027,240626.206972207,98121.9920159182,590091.683752592,151145.767827872,62088.5455985878,367942.958109757,7051.53075072568,6198.94205386664,8021.38259986058,0.0466538418644716,0.0998403488776138,0.0218006145329402,0.0490017140926841,0.020371321011736,0.117870018475377,1.00111330546346,6937
