 par parNo species year quarter area age predator prey fleet
hist_log_SSB 258 1 2004 -1 -1 -1 -1 -1 -1
hist_log_SSB 259 1 2005 -1 -1 -1 -1 -1 -1
hist_log_SSB 260 1 2006 -1 -1 -1 -1 -1 -1
hist_log_SSB 261 1 2007 -1 -1 -1 -1 -1 -1
hist_log_SSB 262 1 2008 -1 -1 -1 -1 -1 -1
hist_log_SSB 263 1 2009 -1 -1 -1 -1 -1 -1
hist_log_SSB 264 1 2010 -1 -1 -1 -1 -1 -1
hist_log_SSB 265 1 2011 -1 -1 -1 -1 -1 -1
hist_log_SSB 266 1 2012 -1 -1 -1 -1 -1 -1
hist_log_SSB 267 1 2013 -1 -1 -1 -1 -1 -1
hist_log_SSB 268 1 2014 -1 -1 -1 -1 -1 -1
hist_log_SSB 269 1 2015 -1 -1 -1 -1 -1 -1
hist_log_SSB 270 1 2016 -1 -1 -1 -1 -1 -1
hist_log_SSB 271 1 2017 -1 -1 -1 -1 -1 -1
hist_log_SSB 272 1 2018 -1 -1 -1 -1 -1 -1
avg_sumF 273 1 1974 -1 -1 -1 -1 -1 -1
avg_sumF 274 1 1975 -1 -1 -1 -1 -1 -1
avg_sumF 275 1 1976 -1 -1 -1 -1 -1 -1
avg_sumF 276 1 1977 -1 -1 -1 -1 -1 -1
avg_sumF 277 1 1978 -1 -1 -1 -1 -1 -1
avg_sumF 278 1 1979 -1 -1 -1 -1 -1 -1
avg_sumF 279 1 1980 -1 -1 -1 -1 -1 -1
avg_sumF 280 1 1981 -1 -1 -1 -1 -1 -1
avg_sumF 281 1 1982 -1 -1 -1 -1 -1 -1
avg_sumF 282 1 1983 -1 -1 -1 -1 -1 -1
avg_sumF 283 1 1984 -1 -1 -1 -1 -1 -1
avg_sumF 284 1 1985 -1 -1 -1 -1 -1 -1
avg_sumF 285 1 1986 -1 -1 -1 -1 -1 -1
avg_sumF 286 1 1987 -1 -1 -1 -1 -1 -1
avg_sumF 287 1 1988 -1 -1 -1 -1 -1 -1
avg_sumF 288 1 1989 -1 -1 -1 -1 -1 -1
avg_sumF 289 1 1990 -1 -1 -1 -1 -1 -1
avg_sumF 290 1 1991 -1 -1 -1 -1 -1 -1
avg_sumF 291 1 1992 -1 -1 -1 -1 -1 -1
avg_sumF 292 1 1993 -1 -1 -1 -1 -1 -1
avg_sumF 293 1 1994 -1 -1 -1 -1 -1 -1
avg_sumF 294 1 1995 -1 -1 -1 -1 -1 -1
avg_sumF 295 1 1996 -1 -1 -1 -1 -1 -1
avg_sumF 296 1 1997 -1 -1 -1 -1 -1 -1
avg_sumF 297 1 1998 -1 -1 -1 -1 -1 -1
avg_sumF 298 1 1999 -1 -1 -1 -1 -1 -1
avg_sumF 299 1 2000 -1 -1 -1 -1 -1 -1
avg_sumF 300 1 2001 -1 -1 -1 -1 -1 -1
avg_sumF 301 1 2002 -1 -1 -1 -1 -1 -1
avg_sumF 302 1 2003 -1 -1 -1 -1 -1 -1
avg_sumF 303 1 2004 -1 -1 -1 -1 -1 -1
