"","x"
"190",-5.6164
"191",-1.8813
"192",-1.0036
"193",-1.155
"194",-1.2987
"195",-1.4156
"196",-1.3433
"197",-1.2917
"198",-1.38629436111989
"199",-1.38629436111989
"200",-1.38629436111989
"201",18.707
"202",16.322
"203",15.72
"204",14.962
"205",14.881
"206",14.169
"207",13.682
"208",13.355
"209",13.873
"210",-5.5889
"211",-1.641
"212",-1.0797
"213",-1.1247
"214",-1.2735
"215",-1.1883
"216",-1.2585
"217",-1.2598
"218",-1.38629436111989
"219",-1.38629436111989
"220",-1.38629436111989
"221",17.722
"222",17.543
"223",15.184
"224",15.113
"225",14.3
"226",14.358
"227",13.603
"228",13.168
"229",13.802
"230",-5.5573
"231",-1.8043
"232",-1.0033
"233",-1.0358
"234",-1.3196
"235",-1.0947
"236",-1.3732
"237",-1.7239
"238",-1.38629436111989
"239",-1.38629436111989
"240",-1.38629436111989
"241",17.863
"242",16.36
"243",16.653
"244",14.451
"245",14.49
"246",13.777
"247",13.773
"248",13.126
"249",13.879
"250",-4.9029
"251",-1.5832
"252",-0.97237
"253",-1.068
"254",-1.1829
"255",-1.2055
"256",-1.1445
"257",-1.1722
"258",-1.38629436111989
"259",-1.38629436111989
"260",-1.38629436111989
"261",16.941
"262",16.605
"263",15.258
"264",16.064
"265",13.757
"266",13.884
"267",13.213
"268",13.19
"269",13.742
"270",-4.2396
"271",-1.4887
"272",-0.95431
"273",-1.2673
"274",-1.3961
"275",-1.5164
"276",-1.2665
"277",-1.0961
"278",-1.38629436111989
"279",-1.38629436111989
"280",-1.38629436111989
"281",18.516
"282",15.426
"283",15.536
"284",14.553
"285",15.621
"286",13.27
"287",13.485
"288",12.681
"289",13.592
"290",-4.0703
"291",-2.1888
"292",-0.85529
"293",-1.1493
"294",-1.2063
"295",-1.3072
"296",-1.2446
"297",-1.3623
"298",-1.38629436111989
"299",-1.38629436111989
"300",-1.38629436111989
"301",17.791
"302",17.301
"303",14.313
"304",14.712
"305",13.961
"306",15.141
"307",12.765
"308",13.014
"309",13.424
"310",-5.1349
"311",-2.2653
"312",-1.3731
"313",-0.87387
"314",-1.0579
"315",-1.1258
"316",-0.94569
"317",-1.085
"318",-1.38629436111989
"319",-1.38629436111989
"320",-1.38629436111989
"321",18.187
"322",16.563
"323",16.422
"324",13.731
"325",13.832
"326",13.259
"327",14.516
"328",12.065
"329",13.323
"330",-4.6134
"331",-2.0373
"332",-1.2639
"333",-1.2751
"334",-1.4599
"335",-1.5818
"336",-1.6914
"337",-1.6721
"338",-1.38629436111989
"339",-1.38629436111989
"340",-1.38629436111989
"341",18.23
"342",16.724
"343",15.622
"344",15.963
"345",13.319
"346",13.394
"347",12.955
"348",14.188
"349",13.187
"350",-4.5603
"351",-1.3582
"352",-1.039
"353",-1.0409
"354",-1.1433
"355",-1.2098
"356",-1.3007
"357",-1.5133
"358",-1.38629436111989
"359",-1.38629436111989
"360",-1.38629436111989
"361",17.464
"362",16.922
"363",15.566
"364",15.031
"365",15.425
"366",12.859
"367",12.895
"368",12.532
"369",14.118
"370",-4.7995
"371",-1.4525
"372",-0.61611
"373",-0.6359
"374",-0.6631
"375",-0.7188
"376",-0.79741
"377",-0.74061
"378",-1.38629436111989
"379",-1.38629436111989
"380",-1.38629436111989
"381",17.363
"382",16.239
"383",15.851
"384",14.598
"385",14.178
"386",14.602
"387",12.137
"388",12.163
"389",13.618
"390",-4.0657
"391",-1.5876
"392",-0.69656
"393",-0.59029
"394",-0.71273
"395",-0.48917
"396",-0.95368
"397",-0.57855
"398",-1.38629436111989
"399",-1.38629436111989
"400",-1.38629436111989
"401",17.575
"402",16.166
"403",15.196
"404",15.021
"405",13.677
"406",13.423
"407",13.669
"408",11.529
"409",13.016
"410",-3.733
"411",-1.3198
"412",-0.71975
"413",-0.36356
"414",-0.40015
"415",-0.36692
"416",-0.32803
"417",-0.052357
"418",-1.38629436111989
"419",-1.38629436111989
"420",-1.38629436111989
"421",17.526
"422",16.504
"423",14.979
"424",14.447
"425",14.032
"426",12.632
"427",12.453
"428",12.601
"429",11.985
"430",-3.5767
"431",-1.2821
"432",-0.089258
"433",0.26171
"434",-0.24799
"435",-0.14219
"436",-0.078507
"437",0.12964
"438",-1.38629436111989
"439",-1.38629436111989
"440",-1.38629436111989
"441",16.793
"442",16.502
"443",15.354
"444",13.537
"445",12.684
"446",12.898
"447",11.372
"448",11.211
"449",11.548
"450",-4.4537
"451",-1.2439
"452",-0.34901
"453",-0.21646
"454",-0.28531
"455",-0.20317
"456",0.20579
"457",-0.012753
"458",-1.38629436111989
"459",-1.38629436111989
"460",-1.38629436111989
"461",17.413
"462",15.885
"463",15.316
"464",14.281
"465",12.357
"466",11.548
"467",11.735
"468",9.7569
"469",10.757
"470",-3.4183
"471",-1.3309
"472",-0.28312
"473",-0.052666
"474",-0.088372
"475",-0.20564
"476",0.075237
"477",-0.08315
"478",-1.38629436111989
"479",-1.38629436111989
"480",-1.38629436111989
"481",17.11
"482",16.524
"483",14.795
"484",14.11
"485",12.91
"486",11.031
"487",10.342
"488",10.345
"489",9.8001
"490",-3.2412
"491",-0.64865
"492",-0.3508
"493",-0.13374
"494",-0.12304
"495",-0.34854
"496",1.0665
"497",0.25656
"498",-1.38629436111989
"499",-1.38629436111989
"500",-1.38629436111989
"501",16.687
"502",16.267
"503",15.095
"504",13.692
"505",12.785
"506",11.584
"507",9.9146
"508",6.9979
"509",9.0899
"510",-2.8383
"511",-0.62275
"512",-0.36505
"513",-0.37257
"514",-0.43259
"515",-0.6324
"516",-0.49966
"517",-1.1359
"518",-1.8111916230596
"519",-1.11732808870966
"520",-2.06375663571412
"521",16.004
"522",15.822
"523",14.863
"524",13.986
"525",12.675
"526",11.777
"527",10.733
"528",9.0215
"529",8.5533
"530",-2.9493
"531",-0.50766
"532",-0.21851
"533",-0.064407
"534",-0.30843
"535",-0.32075
"536",-0.042838
"537",-0.57395
"538",-1.90707196397976
"539",-1.02510422008146
"540",-2.11978236609059
"541",16.621
"542",15.126
"543",14.309
"544",13.624
"545",12.58
"546",11.57
"547",10.677
"548",9.3948
"549",8.6372
"550",-2.4855
"551",-0.84438
"552",-0.15309
"553",-0.21384
"554",-0.2586
"555",-0.076417
"556",-0.11639
"557",-0.25434
"558",-1.44133447204289
"559",-1.14213058017788
"560",-2.17876566368358
"561",15.17
"562",15.885
"563",13.804
"564",13.013
"565",12.45
"566",11.397
"567",10.27
"568",9.4164
"569",8.6813
"570",-2.3192
"571",-0.67531
"572",-0.05806
"573",0.03781
"574",-0.094454
"575",0.1617
"576",-0.12698
"577",0.368
"578",-1.38813900245601
"579",-1.15737613629836
"580",-2.25704922838337
"581",15.405
"582",14.176
"583",14.498
"584",12.367
"585",11.506
"586",11.126
"587",9.7735
"588",9.003
"589",7.9736
"590",-2.59
"591",-1.8755
"592",-0.46913
"593",-0.14727
"594",-0.21874
"595",-0.17488
"596",-0.56366
"597",-0.10544
"598",-1.67933719158764
"599",-1.10961659373417
"600",-2.06628618506753
"601",15.523
"602",14.56
"603",13.074
"604",13.362
"605",11.023
"606",10.174
"607",9.8734
"608",8.7984
"609",8.0215
"610",-2.6237
"611",-2.2096
"612",-1.7942
"613",-0.75248
"614",-1.2328
"615",-0.82699
"616",-1.1804
"617",-1.0191
"618",-1.48113327678368
"619",-1.18858146533231
"620",-2.03553162893969
"621",15.57
"622",14.665
"623",13.6
"624",12.679
"625",12.46
"626",10.436
"627",9.3439
"628",9.1913
"629",8.4645
"630",-2.3934
"631",-2.2773
"632",-1.7386
"633",-1.1839
"634",-1.4325
"635",-1.135
"636",-1.6997
"637",-1.1758
"638",-1.46465093049577
"639",-1.2599100730014
"640",-1.80394191946598
"641",16.229
"642",14.625
"643",13.709
"644",13.042
"645",12.166
"646",11.813
"647",9.8494
"648",8.7864
"649",8.9069
"650",-2.2269
"651",-2.3112
"652",-1.654
"653",-1.318
"654",-1.6737
"655",-1.3095
"656",-2.3085
"657",-1.5029
"658",-1.6921755832727
"659",-1.29528316118147
"660",-1.53844383112764
"661",16.649
"662",15.313
"663",13.626
"664",13.12
"665",12.408
"666",11.794
"667",11.166
"668",9.5047
"669",8.9226
"670",-2.0311
"671",-2.4143
"672",-1.5547
"673",-1.4183
"674",-1.744
"675",-1.5356
"676",-2.8077
"677",-2.0633
"678",-2.02641701214554
"679",-1.29502759395427
"680",-1.38011027999597
"681",17.437
"682",15.71
"683",14.441
"684",12.945
"685",12.48
"686",11.918
"687",11.438
"688",10.867
"689",9.6333
"690",-0.97611
"691",-1.6219
"692",-1.6215
"693",-1.6129
"694",-1.6523
"695",-1.5017
"696",-1.6489
"697",-0.9206
"698",-1.94894950881154
"699",-1.29936785657524
"700",-1.34458722051861
"701",17.906
"702",16.18
"703",14.646
"704",13.895
"705",12.393
"706",11.903
"707",11.322
"708",10.982
"709",10.441
"710",-1.075
"711",-1.7694
"712",-1.7181
"713",-1.3367
"714",-1.6528
"715",-1.9157
"716",-2.022
"717",-1.6322
"718",-1.5035362613293
"719",-1.38796715014378
"720",-1.4538175520043
"721",17.852
"722",16.754
"723",15.166
"724",14.085
"725",13.231
"726",11.92
"727",11.557
"728",10.9
"729",11.09
"730",-0.97934
"731",-1.5999
"732",-1.6172
"733",-1.4519
"734",-1.3675
"735",-1.4967
"736",-1.4305
"737",-1.0499
"738",-1.33504734236088
"739",-1.39385610499076
"740",-1.55756720344471
"741",17.799
"742",16.593
"743",15.749
"744",14.566
"745",13.548
"746",12.612
"747",11.438
"748",11.084
"749",11.152
"750",-1.5606
"751",-1.6913
"752",-1.4942
"753",-1.239
"754",-1.0487
"755",-1.0444
"756",-1.1655
"757",-0.6887
"758",-1.32979658330264
"759",-1.34072031808262
"760",-1.58835286094481
"761",18.041
"762",16.704
"763",15.649
"764",15.168
"765",13.927
"766",12.889
"767",11.888
"768",10.872
"769",11.113
"770",-2.2737
"771",-1.2302
"772",-1.2833
"773",-0.92508
"774",-0.81817
"775",-0.87741
"776",-0.84161
"777",-0.62252
"778",-1.35115255538156
"779",-1.33598117082426
"780",-1.57711516101096
"781",18.21
"782",17.092
"783",15.57
"784",15.01
"785",14.371
"786",13.102
"787",12.147
"788",11.107
"789",10.954
"790",-2.5211
"791",-1.2189
"792",-1.2063
"793",-1.0413
"794",-0.94128
"795",-0.95874
"796",-0.75913
"797",-0.60616
"798",-1.37949052196835
"799",-1.32828442135585
"800",-1.58000929120782
"801",18.221
"802",17.301
"803",16.056
"804",14.863
"805",14.33
"806",13.637
"807",12.407
"808",11.368
"809",10.904
"810",-1.9449
"811",-1.0587
"812",-1.2037
"813",-1.1306
"814",-0.95365
"815",-0.89426
"816",-0.8178
"817",-0.87786
"818",-1.38706291158622
"819",-1.3314392987372
"820",-1.55128969139369
"821",17.578
"822",17.193
"823",16.21
"824",15.42
"825",14.179
"826",13.633
"827",12.916
"828",11.679
"829",11.178
"830",-2.1147
"831",-0.7551
"832",-1.2902
"833",-1.2245
"834",-0.98268
"835",-0.86812
"836",-0.81664
"837",-0.8015
"838",-1.3391061546543
"839",-1.35839076183443
"840",-1.55247792519336
"841",17.403
"842",16.56
"843",15.855
"844",15.633
"845",14.83
"846",13.484
"847",12.919
"848",12.18
"849",11.435
"850",-2.083
"851",-1.0348
"852",-1.276
"853",-1.2649
"854",-0.9742
"855",-0.92608
"856",-0.92712
"857",-0.88526
"858",-1.37718381930001
"859",-1.4007594855245
"860",-1.46497950382919
"861",17.231
"862",16.374
"863",15.373
"864",15.252
"865",15.148
"866",14.225
"867",12.855
"868",12.273
"869",11.968
"870",-2.5747
"871",-0.95973
"872",-1.2927
"873",-1.3705
"874",-1.177
"875",-1.0668
"876",-1.2201
"877",-1.0954
"878",-1.36709646489099
"879",-1.39274098984823
"880",-1.44543103856567
"881",17.278
"882",16.328
"883",15.221
"884",14.736
"885",14.708
"886",14.574
"887",13.623
"888",12.303
"889",12.177
"890",-2.091
"891",-1.261
"892",-0.99133
"893",-1.2287
"894",-1.1844
"895",-1.1411
"896",-1.1118
"897",-1.3293
"898",-1.3512088489391
"899",-1.40912444420749
"900",-1.40943778435331
"901",17.899
"902",16.278
"903",15.342
"904",14.454
"905",14.173
"906",14.125
"907",14.022
"908",13.064
"909",12.407
"910",-1.3228
"911",-1.1389
"912",-0.9272
"913",-1.1107
"914",-1.0578
"915",-1.0434
"916",-0.91307
"917",-0.97066
"918",-1.34345669330802
"919",-1.48901992730487
"920",-1.36486137516097
"921",17.76
"922",16.756
"923",15.187
"924",14.522
"925",13.818
"926",13.551
"927",13.51
"928",13.321
"929",12.826
"930",-1.1415
"931",-1.1213
"932",-0.84422
"933",-0.85509
"934",-0.81886
"935",-0.97292
"936",-0.85771
"937",-0.77853
"938",-1.41103078798298
"939",-1.4481166159206
"940",-1.31940981182244
"941",17.422
"942",16.543
"943",15.6
"944",14.285
"945",13.645
"946",12.988
"947",12.821
"948",12.745
"949",12.986
"950",-1.5525
"951",-1.6843
"952",-0.87932
"953",-0.83001
"954",-0.56245
"955",-1.0065
"956",-0.97745
"957",-1.0068
"958",-1.42376257787997
"959",-1.4405872113117
"960",-1.34238324172997
"961",17.672
"962",16.378
"963",15.634
"964",14.808
"965",13.572
"966",12.747
"967",12.281
"968",12.105
"969",12.804
"970",-1.5309
"971",-1.6666
"972",-1.1926
"973",-0.91881
"974",-0.933
"975",-0.84975
"976",-1.0431
"977",-1.1402
"978",-1.46197683731424
"979",-1.47221256445976
"980",-1.38685855224831
"981",17.618
"982",16.609
"983",15.492
"984",14.95
"985",13.991
"986",12.79
"987",11.85
"988",11.549
"989",12.541
"990",-2.5819
"991",-1.988
"992",-1.7745
"993",-1.4262
"994",-1.5291
"995",-1.4497
"996",-1.4056
"997",-2.1095
"998",-1.52246887828865
"999",-1.47524095072346
"1000",-1.33982882074727
"1001",17.247
"1002",16.766
"1003",15.71
"1004",14.935
"1005",14.354
"1006",13.432
"1007",12.289
"1008",11.233
"1009",12.356
"1010",-3.7474
"1011",-3.2005
"1012",-1.9485
"1013",-1.6064
"1014",-1.5249
"1015",-1.5359
"1016",-1.591
"1017",-1.8394
"1018",-1.61502946724142
"1019",-1.49804435971918
"1020",-1.2925498026362
"1021",16.941
"1022",16.383
"1023",16.087
"1024",15.05
"1025",14.32
"1026",13.768
"1027",12.918
"1028",11.801
"1029",12.085
"1030",-3.9787
"1031",-2.324
"1032",-1.8585
"1033",-1.5622
"1034",-1.506
"1035",-1.4334
"1036",-1.3299
"1037",-1.9154
"1038",-1.46805023585472
"1039",-1.55500438660038
"1040",-1.35555885875825
"1041",18.089
"1042",16.07
"1043",15.494
"1044",15.634
"1045",14.401
"1046",13.593
"1047",13.071
"1048",12.247
"1049",12.015
"1050",-3.4871
"1051",-3.0471
"1052",-1.8997
"1053",-1.5301
"1054",-1.5233
"1055",-1.4625
"1056",-1.5328
"1057",-2.0216
"1058",-1.55736904596121
"1059",-1.50093578707846
"1060",-1.34620369338062
"1061",17.705
"1062",17.261
"1063",15.454
"1064",14.927
"1065",15.114
"1066",13.885
"1067",13.061
"1068",12.504
"1069",12.252
"1070",-3.392
"1071",-2.946
"1072",-1.9725
"1073",-1.6107
"1074",-1.4862
"1075",-1.3842
"1076",-1.4891
"1077",-1.9878
"1078",-1.6807558361918
"1079",-1.41953178226849
"1080",-1.33630084381338
"1081",18.285
"1082",16.72
"1083",16.511
"1084",15.014
"1085",14.373
"1086",14.507
"1087",13.238
"1088",12.464
"1089",12.408
"1090",-3.4621
"1091",-3.0445
"1092",-2.4988
"1093",-1.699
"1094",-1.5491
"1095",-1.5281
"1096",-1.5176
"1097",-1.8977
"1098",-1.60021259375627
"1099",-1.39407919306995
"1100",-1.35904944845484
"1101",17.614
"1102",17.442
"1103",15.903
"1104",16.04
"1105",14.42
"1106",13.777
"1107",13.947
"1108",12.641
"1109",12.616
"1110",-3.6462
"1111",-3.4014
"1112",-2.4291
"1113",-1.9518
"1114",-1.5578
"1115",-1.5618
"1116",-1.5577
"1117",-1.633
"1118",-1.48655981907999
"1119",-1.37076594657349
"1120",-1.40878491492521
"1121",16.9
"1122",16.65
"1123",16.84
"1124",15.375
"1125",15.525
"1126",13.813
"1127",13.289
"1128",13.39
"1129",12.737
"1130",-3.5861
"1131",-2.9942
"1132",-2.5477
"1133",-1.9532
"1134",-1.5892
"1135",-1.165
"1136",-1.3879
"1137",-1.4991
"1138",-1.44062944341069
"1139",-1.36973108576985
"1140",-1.38773611454149
"1141",17.063
"1142",15.917
"1143",15.745
"1144",16.361
"1145",14.918
"1146",14.984
"1147",13.141
"1148",12.766
"1149",13.18
"1150",-3.1496
"1151",-3.2465
"1152",-2.4569
"1153",-1.978
"1154",-1.4793
"1155",-1.1288
"1156",-0.85836
"1157",-1.0906
"1158",-1.42100645878504
"1159",-1.38258526030144
"1160",-1.37778038096275
"1161",16.988
"1162",16.141
"1163",15.184
"1164",15.296
"1165",15.897
"1166",14.364
"1167",14.328
"1168",12.382
"1169",12.927
"1170",-2.7786
"1171",-2.4079
"1172",-2.2313
"1173",-1.9488
"1174",-1.5251
"1175",-1.0357
"1176",-0.78188
"1177",-0.49703
"1178",-1.45768426774988
"1179",-1.37092312122381
"1180",-1.36195602431629
"1181",17.147
"1182",15.929
"1183",15.436
"1184",14.747
"1185",14.796
"1186",15.39
"1187",13.682
"1188",13.532
"1189",12.439
"1190",-3.0063
"1191",-3.2231
"1192",-2.3282
"1193",-1.8728
"1194",-1.4891
"1195",-1.2643
"1196",-0.97653
"1197",-0.61433
"1198",-1.51593591283711
"1199",-1.3751166204258
"1200",-1.31705224047096
"1201",17.119
"1202",16.13
"1203",15.147
"1204",14.936
"1205",14.27
"1206",14.182
"1207",14.806
"1208",12.993
"1209",12.968
"1210",-3.274
"1211",-3.4132
"1212",-2.5595
"1213",-1.8545
"1214",-1.5471
"1215",-1.343
"1216",-1.3068
"1217",-0.83853
"1218",-1.47427829424008
"1219",-1.40174778023194
"1220",-1.31574678223953
"1221",17.135
"1222",16.221
"1223",15.38
"1224",14.643
"1225",14.447
"1226",13.802
"1227",13.679
"1228",14.344
"1229",13.093
"1230",-3.1646
"1231",-3.5339
"1232",-2.5277
"1233",-2.3215
"1234",-2.0096
"1235",-1.7726
"1236",-1.8481
"1237",-1.5715
"1238",-1.49311424065083
"1239",-1.37534351897635
"1240",-1.31845453044413
"1241",17.434
"1242",16.206
"1243",15.646
"1244",14.873
"1245",14.163
"1246",13.993
"1247",13.395
"1248",13.288
"1249",14.255
"1250",-3.5496
"1251",-3.7829
"1252",-2.8823
"1253",-2.9168
"1254",-2.4358
"1255",-2.3022
"1256",-2.5003
"1257",-2.1917
"1258",-1.4337534719872
"1259",-1.39543932928758
"1260",-1.32473052258511
"1261",17.405
"1262",16.474
"1263",15.569
"1264",15.271
"1265",14.537
"1266",13.839
"1267",13.709
"1268",13.104
"1269",14.321
"1270",-3.6278
"1271",-3.6592
"1272",-2.7948
"1273",-2.687
"1274",-2.5143
"1275",-2.2592
"1276",-2.4398
"1277",-2.4532
"1278",-1.44577748745346
"1279",-1.38176011263685
"1280",-1.31608127232561
"1281",17.235
"1282",16.47
"1283",15.833
"1284",15.153
"1285",14.821
"1286",14.057
"1287",13.414
"1288",13.33
"1289",14.197
"1290",-3.274
"1291",-4.0839
"1292",-2.7682
"1293",-2.391
"1294",-2.2508
"1295",-2.002
"1296",-2.0805
"1297",-2.1743
"1298",-1.4272005440627
"1299",-1.35595554085054
"1300",-1.35121544341858
"1301",17.324
"1302",16.19
"1303",15.774
"1304",15.529
"1305",14.81
"1306",14.365
"1307",13.622
"1308",12.945
"1309",14.014
"1310",-3.3684
"1311",-3.3335
"1312",-2.5589
"1313",-1.9782
"1314",-1.7595
"1315",-1.524
"1316",-1.491
"1317",-1.3542
"1318",-1.38629436111989
"1319",-1.38629436111989
"1320",-1.38629436111989
"1321",17.429
"1322",16.329
"1323",15.401
"1324",15.281
"1325",15.11
"1326",14.4
"1327",13.875
"1328",13.136
"1329",13.807
"1330",-3.8649
"1331",-3.0862
"1332",-2.501
"1333",-1.9565
"1334",-1.6363
"1335",-1.241
"1336",-1.0173
"1337",-0.97268
"1338",-1.38629436111989
"1339",-1.38629436111989
"1340",-1.38629436111989
"1341",17.829
"1342",16.537
"1343",15.63
"1344",14.95
"1345",14.793
"1346",14.575
"1347",13.791
"1348",13.2
"1349",13.535
"1350",-3.8661
"1351",-3.0951
"1352",-2.501
"1353",-1.9565
"1354",-1.6363
"1355",-1.241
"1356",-1.0173
"1357",-0.97268
"1358",-1.38629436111989
"1359",-1.38629436111989
"1360",-1.38629436111989
