"","Year","Recruits Age 0 (Thousands) Mean","Recruits Age 0 (Thousands) Low","Recruits Age 0 (Thousands) High","Total biomass (tonnes) Mean","Total biomass (tonnes) Low","Total biomass (tonnes) High","Spawing biomass (tonnes) Mean","Spawing biomass (tonnes) Low","Spawing biomass (tonnes) High","Landings (tonnes) Mean","Landings (tonnes) Low","Landings (tonnes) High","Yield / SSB (ratio) Mean","Yield / SSB (ratio) Low","Yield / SSB (ratio) High","Mean F ages 2-6 Mean","Mean F ages 2-6 Low","Mean F ages 2-6 High","Mean F ages 0-1","SoP (%)","WG Catch"
"11",1957,88445275.9259277,56824431.0366119,137662035.341338,6454165.28355225,5137065.52284899,8108958.18286325,2947705.7113705,2178796.99030536,3987966.29493622,783329.969855861,710236.546512295,863945.744115214,0.26574225738826,0.325976467597724,0.216638176007712,0.210733221038665,0.154734211523984,0.286998524837847,0.0756581704771642,1.15753770683848,682900
"12",1958,33401684.8195051,21752664.7687812,51289005.7673641,6370243.55908958,5084917.29145661,7980464.71086216,2397478.6043417,1772697.38125687,3242461.86577026,791828.927984521,699071.361546184,896894.202340591,0.330275701543515,0.394354597088946,0.276609021006182,0.219957741757685,0.16337540328531,0.296136426819709,0.0708063682103754,1.1673870246085,670500
"13",1959,38448571.0710795,24421853.3057744,60531549.3013104,6900412.80159717,5554383.04591551,8572634.69926887,3586685.38037273,2702488.31473512,4760173.04039307,1155484.84063928,1008124.02106598,1324385.8781734,0.322159520029939,0.373035478292084,0.278222213128631,0.239553291570331,0.179013493708205,0.320566781383081,0.0877098234661988,1.51855768005099,784500
"14",1960,15973339.8189745,10166266.1839313,25097472.4010001,5626682.04150742,4559687.12546638,6943360.35018716,2965190.30443805,2247571.16870335,3911935.54356094,823203.32166695,729116.650515695,929431.125080188,0.277622424582614,0.324402030364329,0.237588558075819,0.208140202057265,0.157874949967206,0.274409231619318,0.0952986577026678,1.18304811835679,696200
"15",1961,72405097.1199143,46711872.3509638,112230527.810047,5706729.9069932,4691264.12215003,6942002.27985567,2850643.39506253,2205880.83583612,3683865.25409632,776685.425813632,691623.997801518,872208.385754163,0.272459693541077,0.313536427972712,0.236764464928325,0.243803033933586,0.190125468512428,0.312635228832246,0.0606674248942597,1.13478814410794,696700
"16",1962,32352719.3449171,21168298.4189851,49446508.5617001,5253251.87167077,4326435.4937876,6378612.43206769,1992998.17212192,1525593.57598079,2603604.11620618,698647.487179479,612909.212155259,796379.466423414,0.350550992445537,0.401751306380026,0.305875790204177,0.274573283308082,0.212692251696674,0.354458083475917,0.050790453826493,1.17054985664224,627800
"17",1963,43021086.2936034,28836024.413819,64184085.8268492,5789213.47287888,4809884.86880901,6967940.71972476,2911252.17695596,2287787.89880984,3704621.93730456,646188.067371306,561243.629917585,743988.877832571,0.221962244454882,0.245321530990507,0.200827207316569,0.191829883065373,0.150295703070024,0.244842023326041,0.0701542095141471,0.860162011173184,716000
"18",1964,45054201.3675185,30349466.3558967,66883583.2914246,5756887.47136195,4956698.21193194,6686256.03998729,2647861.72134726,2160530.58291302,3245115.69094431,924568.56058614,819641.747171376,1042927.62804527,0.349175545358807,0.379370583158449,0.321383804884253,0.28320631286115,0.233273748225069,0.343827011203262,0.123345619259958,1.06562167125803,871200
"19",1965,21871959.4649076,14703847.5359541,32534519.258637,5150754.83148982,4526291.14804143,5861371.80892476,2125295.96314022,1777868.82113965,2540616.53887642,1268114.23478042,1111448.43148204,1446863.09045255,0.596676536714787,0.625157727199229,0.56949290391238,0.475051333717631,0.395112962874843,0.571162656939668,0.123725249198146,1.14958667008898,1168800
"20",1966,22736654.0499308,15508755.0300136,33333135.7923821,3810459.90954597,3375416.14960682,4301574.70329945,1629772.09893338,1371837.14070182,1936204.39019667,969113.20133444,874961.773344783,1073395.9192416,0.594631115582778,0.637802948604497,0.554381512962366,0.481922725383663,0.408843020425636,0.568065251546739,0.122270083858838,1.07067347850363,895500
"21",1967,29150234.7387313,19972947.7588583,42544355.2740613,2953538.92924624,2633898.93204436,3311969.22571443,1032273.62822166,879431.584278368,1211679.06926641,826158.074134329,740550.958242471,921661.306167491,0.800328567491923,0.842079101412012,0.760648037541402,0.640629620696947,0.547159352824949,0.750067249687705,0.155366478536057,1.17567778576564,695500
"22",1968,29985934.9119583,20493617.3373065,43874943.0002959,2546186.68185707,2240547.68287793,2893518.700097,571005.888260512,485162.274042032,672038.494897336,846494.017904883,731232.504045555,979923.78400087,1.48246110120441,1.50719159994333,1.45813638867602,0.97864491735559,0.836246133776037,1.14529184122056,0.16961773597394,1.25513443856227,717800
"23",1969,14054047.916628,9421833.0627152,20963676.7631241,1924870.34334824,1672046.62989153,2215922.55411079,496700.837274869,403740.655285916,611064.846998979,545277.804863609,474494.411790492,626620.413409964,1.09779924643424,1.17524555820238,1.02545649039931,0.869495800251566,0.742950083575476,1.01759588344983,0.166360782093142,0.967356136820925,546700
"24",1970,29702406.088122,20314499.3964948,43428730.8884379,1883846.66967025,1640074.10016859,2163852.39817085,477238.089176551,386377.338126034,589465.714696221,540470.656858652,477818.572121523,611337.750285125,1.13249690063759,1.23666303629242,1.03710484773517,0.932895073945861,0.807302728128728,1.07802586151261,0.17542905194104,0.965665956313266,563100
"25",1971,22847965.5940172,15876626.2577326,32880381.7203381,1746694.1035142,1509619.07862525,2021000.0883333,328164.731322838,268849.840458554,400565.946777239,538579.590535501,454511.713667013,638196.919065323,1.64118669414741,1.69057832763371,1.59323807777458,1.27908780197836,1.1022402687941,1.48430941192137,0.30392245444878,1.07473255143242,520100
"26",1972,15875771.9685759,11058327.406692,22791885.8186182,1543336.02032316,1344682.62507,1771336.98853507,334191.095525442,273127.030172486,408907.489888367,463871.405122355,393913.137455365,546254.135823459,1.38804238453158,1.44223417655367,1.33588684318937,0.654352751282925,0.552989669210187,0.774295700176611,0.324865556415304,0.919726633165829,497500
"27",1973,7884802.14820531,5441625.90979093,11424913.4260557,1222079.51961454,1081405.03938589,1381053.62733413,296410.574505522,245580.027265716,357762.109797433,449926.597635295,391588.835010205,516955.350002246,1.51791682326405,1.59454675272313,1.44496953658661,0.87461360559477,0.75811649165402,1.00901242422857,0.351565868906729,0.95752479338843,484000
"28",1974,14295786.3442323,9676471.01734618,21120252.0871072,875472.550883101,766726.555974014,999642.155834941,199119.213026718,166444.767317764,238207.915065816,273438.566863101,243147.821085367,307502.857785823,1.37324049601587,1.4608318723602,1.29090109243793,0.875377146824322,0.754294623951159,1.015896341894,0.293294096075343,0.968,275100
"29",1975,3223607.56916137,2121291.02775057,4898736.48830439,705231.10875713,594115.905963602,837127.758685662,113695.471413717,93333.0461447026,138500.357096948,264079.30769057,214175.884961496,325610.330793629,2.32268976421792,2.29474868557745,2.35097105609415,1.05323281149302,0.872108472371388,1.27197406096645,0.324690299710609,0.934279092071611,312800
"30",1976,4171598.75147006,2656882.83953523,6549869.60068992,507752.525881666,425142.537406199,606414.566540744,152741.911050726,114931.529688273,202991.219682759,156547.810265775,129634.201566052,189049.005609233,1.02491718997666,1.12792548674551,0.931316171727452,0.816532888601861,0.628962731112721,1.06004048441625,0.146961171983892,0.952961098398169,174800
"31",1977,4999457.03815585,3096819.43259221,8071045.54218201,351220.497032324,281009.114598604,438974.506972257,103638.372196228,75403.8279840377,142445.184530387,57941.7222350365,49454.7134319889,67885.2012797339,0.55907595813383,0.655864758516742,0.47657069983473,0.367237394371415,0.270950667817688,0.497741175214414,0.104271159396424,1.19792826086957,46000
"32",1978,5309058.52759267,3199470.70488274,8809614.16724003,422364.536294809,330428.248682626,539880.601101006,137195.966540091,101088.248788009,186201.002199008,50369.4569127762,36048.1945034208,70380.2846338742,0.36713511470512,0.356601236401049,0.377980160163979,0.262909958631445,0.189144679101756,0.36544325050985,0.108202352879136,NA,11000
"33",1979,10119349.5611645,6329058.23973812,16179537.5650197,558561.07157961,445139.045330773,700883.182360084,181074.601775189,138458.023932236,236808.315450829,65631.9594108629,46811.8801460004,92018.3953875476,0.36245811818682,0.338094382806669,0.388577551478147,0.215368853671476,0.156861952256228,0.295697857030362,0.114334764916736,NA,25100
"34",1980,15394144.1757326,10483042.7774016,22606000.942217,756983.696925411,615314.074997649,931271.26567526,198568.552779088,157000.432573735,251142.430032882,81137.7802939037,69119.754519336,95245.410473501,0.408613444366346,0.440252000496075,0.379248582013922,0.191146795767518,0.151056201333286,0.24187750790565,0.120950367386635,1.09363800802668,70764
"35",1981,36803615.5709106,25979060.2461989,52138380.1513589,1363464.68248343,1113120.05536606,1670112.69936043,297339.328062873,234740.54158467,376631.473268503,159385.225294505,127994.70560488,198474.22533711,0.536038156583184,0.545260331857558,0.526971959126784,0.21392598193726,0.170258451019462,0.268793269724917,0.291427628803918,1.00808559060836,174879
"36",1982,58129952.9438621,41486421.061086,81450540.7511564,2073914.04250835,1697030.59341198,2534497.29922998,414765.491193418,330833.952187809,519990.199153618,272843.674642009,224591.476302783,331462.582719718,0.657826363174398,0.678864653453964,0.637440058022701,0.18911512849918,0.151571528573511,0.235958112739597,0.263135480068778,0.978555614932437,275079
"37",1983,57087843.3287987,41428683.7389868,78665831.5399612,2849434.97060912,2369150.21824815,3427085.20092658,630809.991607331,505654.41753437,786943.081506045,401434.339359253,331915.431148146,485513.819768365,0.636379170748994,0.656407656372517,0.61696179962494,0.236257851585358,0.19167525582696,0.291210110532578,0.286153592517139,1.07707759773968,387202
"38",1984,54807961.6116398,39078581.5383713,76868518.1951509,3676116.26328251,3112581.60700042,4341679.18706984,1048278.21510614,841058.373883659,1306552.85101307,456713.960630486,400637.659136242,520639.128843981,0.435680102904975,0.476349408764892,0.398483022282864,0.308114744872393,0.252310818653077,0.376260901195494,0.196982660028747,1.05433158124354,428631
"39",1985,66130468.60533,46299726.4075376,94454961.5577981,4190007.47802502,3584176.10483117,4898242.20474026,1137004.18765929,927760.912436481,1393439.30685727,621204.683152016,550200.718252669,701371.782275249,0.546352150585187,0.593041494718434,0.503338594529178,0.391574844428684,0.319120813199775,0.480479030032304,0.192498074410499,1.04188357391899,613780
"40",1986,79734952.0158276,55591126.3127705,114364701.610765,4698910.4390256,4003417.95115293,5515227.13426038,1150309.96446017,947548.548792952,1396459.33289852,760576.633821961,645442.077334173,896248.999298573,0.661192771792505,0.681170456285726,0.641801002137527,0.368771070648438,0.302592905055752,0.449422641030328,0.188244987936747,1.13725814906596,671488
"41",1987,76655547.749136,53988883.9083152,108838571.486288,4742664.57522477,4071287.65787244,5524755.10532858,1361159.99974571,1120070.43327413,1654142.89125716,794482.28280693,692962.523610735,910874.796526056,0.583680304266475,0.618677632249521,0.55066270353088,0.35678107057099,0.295228616777389,0.431166645385749,0.245830059256745,1.01733623042757,792058
"42",1988,43706889.5876639,30740518.1274336,62142485.351392,4597570.61570148,3978651.83248554,5312768.35881278,1771926.05134314,1460543.72990513,2149693.88943421,998254.458244577,840766.835197522,1185241.75988824,0.563372527588207,0.575653311833489,0.551353737252418,0.33979647034089,0.282463764123336,0.40876620622287,0.297489080015145,1.16414497919309,887686
"43",1989,37164410.9199674,26210532.2732917,52696123.2464406,3994878.89373988,3514838.83218169,4540480.55618596,1795869.84396576,1521427.16046243,2119817.87907962,807725.992751034,723080.277872047,902280.561828701,0.449768670856102,0.475264473162338,0.425640603720378,0.328937690688269,0.276155787072456,0.391807846948877,0.239331258724759,1.03353221669275,787899
"44",1990,30837203.707929,21503132.0870421,44223005.6847089,3932574.72941319,3467928.35424409,4459476.21250388,1891144.73252025,1610890.11681931,2220156.64631473,686338.563333066,611589.431813715,770223.615736999,0.362922282747979,0.379659310978514,0.346923095275959,0.270315142599276,0.226076789736939,0.323209987206077,0.218634518138828,1.05150775926067,645229
"45",1991,34056189.0255343,23959966.3088821,48406746.3197128,3730650.36894584,3289936.87221463,4230400.98211581,1670594.35475007,1427831.80040875,1954631.83921512,677131.365465837,609829.188650187,751861.168063307,0.405323628408369,0.427101559494338,0.384656155179185,0.296810711568714,0.249378239224596,0.353264979237359,0.194324389407175,1.01972134077397,658008
"46",1992,63976509.3273889,47087938.7659309,86922338.3521482,3806072.30559305,3343296.35646186,4332905.26800107,1302921.26060872,1110494.65129591,1528691.56944176,702941.191954283,627903.501932168,786946.270924744,0.539511644491754,0.565426858381916,0.514784202814774,0.329173318698541,0.275538084722998,0.393248990795382,0.268320001349451,0.994954094523011,716799
"47",1993,66006163.0626363,47939050.7913805,90882349.3650546,3560519.68062088,3086007.24343775,4107994.37462317,945284.320964656,799462.241250723,1117704.37846279,679656.268370615,605924.973119645,762359.472918204,0.718996658779901,0.757915686138851,0.682076126396407,0.373223122387506,0.312060528801059,0.446373335390589,0.266121912095132,1.02311389535551,671397
"48",1994,50550520.8768721,36088207.7665704,70808591.4781887,3440291.9030427,2928689.16969943,4041264.77490127,1005404.70522294,847567.67839888,1192634.69696483,611844.250164854,538406.803915978,695298.394702702,0.608555188757726,0.635237536349982,0.582993599357949,0.389812155992109,0.325866025401544,0.466306718449626,0.152751146559987,1.04975714230405,568234
"49",1995,58741169.4470655,42140444.3174193,81881552.1264579,3366483.53000943,2868499.66392266,3950919.53482284,1074745.94065734,897186.569484686,1287445.52832847,563954.252568919,503648.270662299,631481.16953194,0.524732619342571,0.561364032624316,0.490491563050291,0.33927412548495,0.279271264154276,0.412168908864143,0.160183113524705,1.00844509304056,579371
"50",1996,47090887.4237371,33836667.1264722,65536941.6280415,3307363.40932447,2819041.68572274,3880273.49036309,1195282.24334204,1000325.11410003,1428235.301814,286136.952483767,249609.731828316,328009.468929728,0.239388608069438,0.249528606559962,0.229660664817011,0.19379105663861,0.154843358728122,0.242535255897213,0.0933133636035927,0.998696900740827,275098
"51",1997,37707543.5223567,26829108.3245186,52996872.6985614,3340047.89347812,2866575.36036217,3891723.93127602,1352427.74545627,1136502.52802412,1609376.80434364,278580.256785554,247962.419820842,312978.714785804,0.205985316200067,0.218180262433679,0.194471993097631,0.175858933508848,0.143276196556434,0.215851378234261,0.0328529462941687,1.00058397430319,264313
"52",1998,24552213.2881739,17767478.4738257,33927784.3074931,3629087.87029603,3138971.99844112,4195729.93224228,1577216.54016544,1337876.00223474,1859374.1201847,380767.677671147,342980.506335129,422717.972832583,0.241417502273472,0.256361954143902,0.227344227417016,0.202863040832596,0.166976022106265,0.246463011974599,0.0471481343945837,1.00176666121932,391628
"53",1999,77381787.5402779,55926307.2967838,107068414.353777,3627683.9545552,3151262.19935323,4176133.25760015,1620096.00580248,1373901.73610216,1910406.68997452,360691.329523599,324490.571314187,400930.710148537,0.222635774813195,0.23618178999816,0.209866680352697,0.195273243292566,0.161572794418705,0.236002847405004,0.03729811680671,0.999954934836423,363163
"54",2000,52738563.6945134,38388964.5868377,72451969.7390817,4472942.61803689,3855465.65039463,5189312.38881687,1680091.84937606,1427211.28659121,1977779.07788391,378363.407898332,342292.40882553,418235.592567317,0.225204001816238,0.239833031059522,0.211467295434635,0.196572302077893,0.162597665921175,0.237645907924257,0.0425617189602961,1.00035435403716,388157
"55",2001,98495771.023303,70234995.165719,138127964.365691,5051667.30007265,4355137.76371194,5859594.78096344,2146340.48872187,1823342.4232886,2526556.41347827,376356.782047697,342096.983697845,414047.577567664,0.175348125810092,0.187620810731117,0.163878223877713,0.170250450953693,0.139750562410133,0.207406793576055,0.0361482704535353,0.990123812706348,374065
"56",2002,47444822.4131021,34268243.9556836,65687963.9564213,5971719.63836783,5116873.20141395,6969380.32965398,2538203.30898112,2156043.98684882,2988100.46409988,401388.659560866,361640.733807542,445505.279031453,0.158138892239483,0.167733467412277,0.14909313939873,0.158556459783745,0.129881188942984,0.193562679428432,0.0283518902820228,0.997378704311277,394709
"57",2003,26515365.8754964,19201793.5811559,36614528.9782412,6303543.87129878,5432484.50917102,7314271.26396939,2607672.46998654,2228112.85183859,3051890.17024632,491528.335700018,446823.267861936,540706.185584501,0.188493126095148,0.200538885403954,0.177170918814834,0.186609710283271,0.153866364377154,0.226320964383408,0.0344475782027577,1.01531478536372,482281
"58",2004,31181143.6777804,22546944.3389622,43121751.0647005,5290734.20305789,4604833.66438513,6078801.20055201,2535771.7375516,2167066.63897827,2967208.38635454,588785.519147657,534160.08308927,648997.179933493,0.232191845357562,0.246489920282801,0.218723155042993,0.233738268543473,0.189953776218876,0.28761512021087,0.035451647995742,0.998542307443619,587698
"59",2005,28858268.967044,21067395.3567539,39530263.4080614,4439521.3656797,3889886.49225449,5066818.78650487,2332377.69658235,1986291.55818682,2738764.95980311,647063.323562212,575605.66906924,727391.975441109,0.277426475356182,0.289789113132355,0.265591237699128,0.251784935115306,0.205499375498073,0.308495601981103,0.0597083839081196,1.00326861932502,663813
"60",2006,26326528.4781309,19103982.9824302,36279664.9445963,3757311.75161059,3293413.64442959,4286552.83634622,1899369.05581916,1620355.16694281,2226427.1955944,514593.604869545,462083.031763187,573071.417840645,0.270928708295508,0.285173918157102,0.257395085262444,0.224107692355266,0.182839543603758,0.274690347519388,0.0439788983100967,0.995024866060237,514597
"61",2007,30331688.4513027,21675565.1490421,42444629.1471919,3133102.24464715,2730479.38112042,3595093.86640561,1539851.36005656,1310144.65833241,1809832.36926377,378748.954695251,328800.587341166,436285.019569931,0.24596462004056,0.250965101639747,0.241063773076072,0.194367784211147,0.157964314443083,0.239160570362638,0.0363047848847355,1.0056199447946,406482
"62",2008,28379626.933864,20353434.7433599,39570875.1402784,3177499.52678443,2751562.05265244,3669371.4513843,1612371.68830769,1374497.82143891,1891412.57316409,255182.160183403,226270.289489829,287788.26872361,0.158265096090367,0.164620333303225,0.152155205483369,0.121935793511921,0.100465110840313,0.147995036436228,0.0365698526884352,1.0039975580719,257870
"63",2009,46359752.6140198,33396310.3849149,64355212.8262623,3637499.73237859,3137376.32350587,4217346.89712608,1905353.88612006,1620165.29139085,2240742.62709101,177211.044569792,155822.522282092,201535.399745777,0.0930068927671243,0.0961769290516802,0.0899413423519395,0.0706341998827911,0.0567976718350072,0.0878414560296643,0.0244240081462476,1.00226457377273,168443
"64",2010,37031313.7834382,26849132.6877194,51074953.3877753,4422337.24891971,3816052.31516323,5124947.23027564,2023085.18384788,1710318.47003262,2393047.68837977,191131.861806449,172617.624424449,211631.858099104,0.0944754394587177,0.100927182538791,0.0884361223249968,0.0752376178647461,0.0616507180768367,0.0918188679474342,0.0242817329441508,1.00336283693387,187611
"65",2011,33199433.6367079,24139262.3820424,45660152.1767341,4441724.41639689,3862241.72281957,5108151.48483599,2421122.84093369,2078869.56292739,2819722.75482085,232665.788827599,210262.421902769,257456.224468877,0.0960982998854669,0.10114267179259,0.0913055100997811,0.0978972909383832,0.0806551902358603,0.118825329715896,0.0265507404884548,0.993763783678768,226478
"66",2012,31838465.0079418,23071407.9018123,43936974.2139711,4436843.4437652,3872654.13538216,5083226.91784601,2552475.74870078,2190153.86290741,2974737.32692771,422388.159211217,374654.508485866,476203.416750211,0.165481752148366,0.171063099643838,0.160082509618431,0.159122111897289,0.130728361366541,0.193682887400849,0.0339318712209358,1.0108696922086,434710
"67",2013,39303375.1618263,28112650.1133789,54948761.2473827,4279913.92684607,3753510.91932038,4880141.18379801,2326825.10823767,2001106.55074136,2705560.62210653,487575.23031431,437077.536232985,543907.168656982,0.209545284941333,0.21841792285926,0.201033073963613,0.187723788598047,0.154215491321983,0.228512845911354,0.0333856767704301,1.00137331135514,511416
"68",2014,62776837.6093527,44609659.0695297,88342556.8011764,4546218.80598969,3975802.16099417,5198474.31914625,2249623.76894681,1931557.57029193,2620065.3708942,511855.623223342,460034.296909776,569514.448781936,0.227529434160884,0.238167530694023,0.217366503564591,0.192106434732452,0.158313342663199,0.233112899044311,0.0320296492256088,1.00285248107686,517356
"69",2015,16528114.0019496,11756873.0920056,23235646.9550732,4748007.06087309,4107855.0064702,5487917.90717851,2059209.5435731,1762537.4719657,2405817.75524659,482792.620384333,427319.983584079,545466.44962067,0.234455314123399,0.242445899948727,0.226728083800662,0.202810866575501,0.163568733829632,0.251467665232083,0.0362022236852482,1.00167061985553,494099
"70",2016,32148871.6046838,22858506.8786147,45215111.8593569,4590789.01063118,3939770.48498249,5349383.6304593,2358239.15824135,1990046.70208479,2794553.47537161,543749.756908204,484914.09944523,609724.069636227,0.230574475454689,0.243669708322539,0.218183003120077,0.219276196457113,0.175299779371314,0.274284716758558,0.0449207168051976,0.999974644701123,563610
"71",2017,19152075.8903872,12779783.0567243,28701740.0282197,3668323.23780806,3108881.91683343,4328435.66819962,1883284.02560523,1537605.79290765,2306676.22186363,505861.356878726,450648.754725185,567838.498830949,0.268605982953717,0.293084714433208,0.246171739860472,0.211065006548597,0.163208125996903,0.272954773037494,0.0319203391173995,1.01888212391937,498437
"72",NA,36177718.2823151,19692632.9304126,66462788.6346904,NA,NA,NA,2271364,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
