Year Quarter Species.n Age M1 M2 M F Z N N.bar C.hat C.obs west weca Yield CWsum prop.landed propmat BIO SSB Lsea ration
1979 2 1 2 0 0 0.245079 0.569552 0.814631 8.49612e+006 5.81124e+006 3.3098e+006 2.15226e+006 0.0149946 0.0149946 32272.4 32272.4 1 0.87187 127396 111073 0 0 
1979 2 1 3 0 0 0.22659 0.531929 0.758519 256915 180070 95784.5 63386.1 0.0173026 0.0173026 1096.75 1096.75 1 0.94676 4445.31 4208.64 0 0 
1979 3 1 0 0 0 0.393302 0.0121382 0.405441 2.23752e+008 1.83949e+008 2.23282e+006 3.88278e+006 0.0032166 0.0032166 12489.4 12489.4 1 0 719721 0 0 0 
1979 3 1 1 0 0 0.366066 0.0703887 0.436455 7.51992e+007 6.09368e+007 4.28926e+006 6.39926e+006 0.0076793 0.0076793 49141.8 49141.8 1 0.409297 577477 236359 0 0 
1979 3 1 2 0 0 0.231547 0.155261 0.386807 3.7621e+006 3.1199e+006 484397 332781 0.0128909 0.0128909 4289.83 4289.83 1 0.87187 48496.7 42282.8 0 0 
1979 3 1 3 0 0 0.231547 0.376222 0.607768 120329 90169.2 33923.6 25963.8 0.0164776 0.0164776 427.82 427.82 1 0.94676 1982.73 1877.17 0 0 
1979 4 1 0 0 0 0.444375 0 0.444375 1.49172e+008 1.20437e+008 0 0 0.00285703 0.00285703 0 0 1 0 426188 0 0 0 
1979 4 1 1 0 0 0.38935 0 0.38935 4.8603e+007 4.02584e+007 0 0 0.0105863 0.0105863 0 0 1 0.409297 514525 210594 0 0 
1979 4 1 2 0 0 0.376957 0 0.376957 2.5553e+006 2.1289e+006 0 0 0.0121166 0.0121166 0 0 1 0.87187 30961.6 26994.5 0 0 
1979 4 1 3 0 0 0.376957 0 0.376957 65526.8 54592.4 0 0 0.0153221 0.0153221 0 0 1 0.94676 1004.01 950.555 0 0 
1980 1 1 0 0 0 0.470002 0.00191607 0.471918 3.34515e+008 2.66663e+008 510946 0 0.00632446 0.00632446 0 0 1 0 2.11563e+006 0 0 0 
1980 1 1 1 0 0 0.463561 0.469351 0.932911 9.56525e+007 6.21948e+007 2.91912e+007 1.42376e+007 0.00519841 0.00519841 74012.7 74012.7 1 0.409297 497242 203519 0 0 
1980 1 1 2 0 0 0.443658 0.788913 1.23257 3.29284e+007 1.89266e+007 1.49315e+007 1.74214e+007 0.00682428 0.00682428 118888 118888 1 0.87187 224713 195920 0 0 
1980 1 1 3 0 0 0.415235 0.721782 1.13702 1.79775e+006 1.07393e+006 775142 1.48107e+006 0.00832205 0.00832205 12325.5 12325.5 1 0.94676 14960.9 14164.4 0 0 
1980 2 1 0 0 0 0.447383 0.0170947 0.464478 2.08672e+008 1.66917e+008 2.8534e+006 0 0.00510473 0.00510473 0 0 1 0 1.06522e+006 0 0 0 
1980 2 1 1 0 0 0.261263 0.528486 0.789749 3.76304e+007 2.6018e+007 1.37502e+007 9.41516e+006 0.0051586 0.0051586 48569.1 48569.1 1 0.409297 194120 79452.7 0 0 
1980 2 1 2 0 0 0.256933 1.79622 2.05315 9.60002e+006 4.07571e+006 7.32086e+006 1.15206e+007 0.0068616 0.0068616 79049.6 79049.6 1 0.87187 65871.5 57431.4 0 0 
1980 2 1 3 0 0 0.22984 1.67756 1.9074 576671 257447 431883 979415 0.00826773 0.00826773 8097.54 8097.54 1 0.94676 4767.76 4513.93 0 0 
1980 3 1 0 0 0 0.38776 0.0382808 0.426041 1.31143e+008 1.06785e+008 4.08782e+006 2.53606e+006 0.00318667 0.00318667 8081.58 8081.58 1 0 417909 0 0 0 
