"","Year","Recruits Age 1 (Thousands) Mean","Recruits Age 1 (Thousands) Low","Recruits Age 1 (Thousands) High","Total biomass (tonnes) Mean","Total biomass (tonnes) Low","Total biomass (tonnes) High","Spawing biomass (tonnes) Mean","Spawing biomass (tonnes) Low","Spawing biomass (tonnes) High","Landings (tonnes) Mean","Landings (tonnes) Low","Landings (tonnes) High","Yield / SSB (ratio) Mean","Yield / SSB (ratio) Low","Yield / SSB (ratio) High","Mean F ages 4-6 Mean","Mean F ages 4-6 Low","Mean F ages 4-6 High","SoP (%)"
"23",2002,82950.5561303022,42908.8080631941,160358.562097384,19954.3012383645,14300.0684078172,27844.2121083653,7454.70011226452,5156.44362039478,10777.302702195,2793.91746697057,2240.91871188645,3483.3815126083,0.374786030946302,0.43458609787241,0.3232145935642,0.319148106578051,0.228061032373609,0.446615157671898,0.998353949017969
"24",2003,145947.172059002,77059.5670642539,276417.034814885,23017.2680961269,15715.8840056871,33710.7750615406,6582.03995613065,4684.61961840192,9247.97603927539,2508.3990501472,2012.10999659277,3127.09832237508,0.381097511845218,0.429514061011247,0.338138670460926,0.313956763002285,0.221580704822641,0.444844008930155,1.00104168403501
"25",2004,164062.051819911,85246.4029397134,315747.713911104,25463.4660519516,17595.5762499848,36849.4952462527,9467.30913924505,6584.22292249593,13612.8353175588,2718.94713055833,2104.48908143906,3512.81152464626,0.287193234166973,0.319626037303321,0.258051422991593,0.297512213814656,0.210324774015428,0.420842089493484,0.997923350454366
"26",2005,183505.514904385,95100.9654093661,354089.71775808,29085.6440553405,19897.8626416092,42515.8573737922,11525.3011767928,7917.43683116868,16777.2184418141,3226.9735643566,2511.45111867376,4146.35121011449,0.279990389392548,0.31720507182159,0.247141755023019,0.285389604191645,0.201146697262057,0.404914558823471,1.00615272395715
"27",2006,312700.14276449,164768.312590589,593447.719088418,37797.5664535684,25417.6222038385,56207.3044580922,12581.7169065495,8910.28583324281,17765.939643144,3415.91270554811,2685.09879117554,4345.63512161,0.271498137410001,0.301348221754894,0.244604856759547,0.267402570880001,0.188387927119471,0.379557947298225,1.00049977283053
"28",2007,558494.472278413,280534.502515252,1111863.5061603,67778.4786840577,42988.6755204142,106863.542947345,20064.3522580596,14116.7201490006,28517.8304369801,4824.68149405787,3659.78470172547,6360.36089995399,0.240460366325549,0.259251771168996,0.223031023135136,0.242731350673454,0.168620407468633,0.349415052924241,1.00118556923742
"29",2008,282377.469727411,135430.733944638,588766.17653309,60961.6343375302,42234.3859007395,87992.7760720126,25591.1022066897,17712.2186569033,36974.7305427483,6320.16124332637,4584.03273723616,8713.82043526337,0.246967136947866,0.258806241388035,0.235669612931699,0.229902493787794,0.157433457823504,0.335730138819043,1.00084167517875
"30",2009,354335.683047357,174502.648821108,719494.959697427,63576.5518662331,43620.7398121336,92661.8384880192,25719.3781403158,17575.9997528033,37635.7772660442,6137.66711349428,4515.02498675149,8343.46602878338,0.238639794477509,0.256885813054894,0.221689749352169,0.219325138387032,0.147879725670093,0.325288109039406,NA
"31",2010,404335.395738577,209188.115440219,781531.550695539,64990.7349833193,45339.2508052406,93159.8021285306,26876.2963353336,18595.8999015258,38843.7939830702,5824.9168287163,4488.96211846775,7558.46344122055,0.216730637139852,0.241395261441444,0.194586127310707,0.20929720576532,0.139132745218971,0.314845511545313,0.998894564773192
"32",2011,265401.751412162,130101.422716252,541409.065189603,56954.0453662218,40430.2360053632,80231.124130647,26769.0058739689,18727.1795598218,38264.1536164882,5920.04897116448,4600.43802145827,7618.18323766403,0.221153112634689,0.245655679583928,0.199094518436736,0.20343677710225,0.134488901509893,0.307731878341695,1.00140023068051
"33",2012,288658.613303335,150431.152494997,553899.864836677,54014.0782553348,38518.7340258712,75742.9007872865,24028.5984014829,16593.9790380704,34794.1587617484,5891.70082607952,4721.85589787699,7351.37610608429,0.245195359614314,0.284552360048423,0.211281903851234,0.199488238355839,0.131522360499302,0.302576361093573,0.999901809239417
"34",2013,161135.354186265,83855.4364022005,309635.290003116,43958.4434691256,31721.7549337933,60915.4429274584,21596.7906151323,14919.2678374995,31263.0197375718,4820.34123412315,3811.10480061068,6096.83827368503,0.223197109238336,0.255448514104123,0.195017574273475,0.19318635229382,0.125747770472553,0.296792273710636,0.998193869096935
"35",2014,343176.441296894,174063.177260448,676593.819064804,55492.3248954785,38039.7292832425,80952.1566091139,22788.2424519305,16028.4604629084,32398.8692020479,4605.93054029056,3707.11935564167,5722.66336925352,0.202118726356643,0.23128355740842,0.176631577280228,0.187495581346755,0.120432481812057,0.29190291934213,1.00114833759591
"36",2015,360050.651807382,188594.936312349,687380.448286364,56840.2511076794,39810.564669269,81154.6928013811,20975.2825071423,14750.1067643089,29827.7485908791,4864.40653237385,3833.00051599636,6173.34926344263,0.231911371430514,0.259862560810146,0.20696665202986,0.188812654795206,0.122415240838629,0.291223693770358,1.00005663463504
"37",2016,200385.842602257,104945.872896291,382620.915022525,48339.2916183841,35394.8213899082,66017.7682047413,22719.9801691955,15922.2948837669,32419.792665372,5203.5689204085,3962.3842246312,6833.54464746827,0.229030522106867,0.248857608375972,0.210783107652853,0.185983001356827,0.119643690379082,0.28910573289823,0.99993089900624
"38",2017,199187.127288727,100650.600774805,394190.510261389,46443.8808830479,33538.9792129828,64314.243369809,20933.37386474,14799.3242510947,29609.875013622,4693.81047695307,3671.7071632866,6000.43952683672,0.224226180991268,0.248099649753603,0.202649944455227,0.181717862638454,0.115022582538147,0.287086073649378,0.999920944558522
"39",2018,366223.836286032,172911.572295271,775655.998518305,54885.2543310153,37007.7711257968,81398.8805956597,20235.6261350199,13854.0377025686,29556.7670499685,5028.11278076227,3943.9435391945,6410.31441875774,0.248478240663904,0.284678273862591,0.216881447416779,0.182683524052735,0.115393829139394,0.289211912016643,1.00311316872428
"40",2019,343863.480990167,86414.05368881,1368320.18070212,56443.7586923885,32031.0812676697,99462.7021392575,24785.1509298405,16356.8426585451,37556.3743834174,5499.43148767132,4057.67244989475,7453.4716789117,0.221884123410771,0.248071864148853,0.198460895155063,0.183966794929153,0.115342144282212,0.293420777350021,1.00183597302807
