"","name","value","std.dev"
"134","U",-1.1175,0.19718
"135","U",-0.74218,0.32994
"136","U",11.635,0.35508
"137","U",11.718,0.27635
"138","U",10.857,0.25098
"139","U",10.021,0.2499
"140","U",9.342,0.26117
"141","U",9.3788,0.27627
"142","U",8.7988,0.30919
"143","U",8.7417,0.36966
"144","U",-3.6739,0.25873
"145","U",-1.4793,0.20631
"146","U",-1.3394,0.16874
"147","U",-1.2502,0.17071
"148","U",-1.1973,0.1824
"149","U",-1.0742,0.19911
"150","U",-0.38918,0.33849
"151","U",11.886,0.35746
"152","U",10.795,0.27777
"153","U",11.171,0.25057
"154","U",10.176,0.24464
"155","U",9.2756,0.25786
"156","U",8.6455,0.27619
"157","U",8.611,0.31108
"158","U",8.4914,0.39414
"159","U",-3.6635,0.25438
"160","U",-1.4707,0.20614
"161","U",-1.3513,0.16861
"162","U",-1.2708,0.17038
"163","U",-1.1956,0.18038
"164","U",-1.0683,0.19734
"165","U",-0.5787,0.37235
"166","U",11.759,0.35059
"167","U",11.151,0.27318
"168","U",10.274,0.25004
"169","U",10.677,0.24266
"170","U",9.5599,0.25473
"171","U",8.6227,0.27916
"172","U",7.9584,0.3267
"173","U",8.3504,0.39379
"174","U",-3.6347,0.24843
"175","U",-1.4329,0.19138
"176","U",-1.3492,0.16778
"177","U",-1.2812,0.16965
"178","U",-1.1824,0.17854
"179","U",-1.057,0.1962
"180","U",-0.61224,0.4014
"181","U",11.291,0.35081
"182","U",10.945,0.26987
"183","U",10.594,0.24774
"184","U",9.7423,0.24365
"185","U",10.15,0.24927
"186","U",8.9008,0.27487
"187","U",7.8721,0.33476
"188","U",7.9432,0.43713
"189","U",-3.606,0.24731
"190","U",-1.3948,0.18283
"191","U",-1.3445,0.16743
"192","U",-1.2923,0.17037
"193","U",-1.1768,0.17615
"194","U",-1.0607,0.19147
"195","U",-0.85272,0.42956
"196","U",12.429,0.35204
"197","U",10.448,0.26868
"198","U",10.346,0.24553
"199","U",10.103,0.24457
"200","U",9.3036,0.25234
"201","U",9.665,0.26424
"202","U",8.2842,0.32574
"203","U",7.7523,0.45548
"204","U",-3.5841,0.24929
"205","U",-1.3491,0.17799
"206","U",-1.325,0.16703
"207","U",-1.2814,0.16968
"208","U",-1.156,0.17632
"209","U",-1.0494,0.18912
"210","U",-1.1314,0.40608
"211","U",11.069,0.33566
"212","U",11.523,0.2651
"213","U",9.7618,0.24179
"214","U",9.7175,0.23701
"215","U",9.4937,0.24755
"216","U",8.7603,0.26684
"217","U",9.0577,0.29511
"218","U",8.1352,0.40153
"219","U",-3.584,0.24795
"220","U",-1.3098,0.17854
"221","U",-1.3117,0.16803
"222","U",-1.2885,0.17192
"223","U",-1.143,0.17764
"224","U",-1.0479,0.18778
"225","U",-1.0732,0.34677
"226","U",11.988,0.32052
"227","U",10.316,0.24717
"228","U",10.916,0.23018
"229","U",9.1553,0.22678
"230","U",9.1515,0.23404
"231","U",8.8909,0.25353
"232","U",8.1915,0.30561
"233","U",8.8174,0.30888
"234","U",-3.5692,0.25052
"235","U",-1.2402,0.19729
"236","U",-1.2882,0.17069
"237","U",-1.285,0.17354
"238","U",-1.1243,0.18055
"239","U",-1.0393,0.18931
"240","U",-0.91341,0.30937
"241","U",11.857,0.33142
"242","U",11.288,0.24189
"243","U",9.6026,0.22624
"244","U",10.266,0.224
"245","U",8.552,0.23222
"246","U",8.5126,0.24703
"247","U",8.2094,0.28858
"248","U",8.5562,0.30553
"249","U",-3.5438,0.25883
"250","U",-1.1785,0.23313
"251","U",-1.2695,0.17542
"252","U",-1.2753,0.17522
"253","U",-1.1122,0.18397
"254","U",-1.0377,0.19082
"255","U",-0.91588,0.31071
"256","U",11.42,0.34275
"257","U",10.972,0.251
"258","U",10.707,0.23253
"259","U",8.9412,0.22509
"260","U",9.6858,0.23217
"261","U",7.9522,0.25112
"262","U",7.9235,0.28819
"263","U",8.3649,0.29058
"264","U",-3.5217,0.26911
"265","U",-1.1286,0.27799
"266","U",-1.2606,0.17993
"267","U",-1.2553,0.17704
"268","U",-1.0959,0.18988
"269","U",-1.0269,0.19585
"270","U",-0.67832,0.29908
"271","U",11.788,0.33186
"272","U",10.661,0.27077
"273","U",10.216,0.23878
"274","U",10.108,0.23613
"275","U",8.4101,0.23995
"276","U",9.0137,0.24351
"277","U",7.2626,0.28754
"278","U",7.9848,0.28847
"279","U",-3.5241,0.26822
"280","U",-1.1122,0.30336
"281","U",-1.2506,0.18715
"282","U",-1.2081,0.18273
"283","U",-1.0722,0.20078
"284","U",-1.0178,0.20265
"285","U",-0.24767,0.32953
"286","U",12.036,0.31878
"287","U",10.851,0.24425
"288","U",9.7312,0.23538
"289","U",9.5365,0.23844
"290","U",9.5219,0.25397
"291","U",7.869,0.26987
"292","U",8.3619,0.26925
"293","U",7.2013,0.35956
"294","U",-3.5561,0.25549
"295","U",-1.1797,0.25339
"296","U",-1.2647,0.18876
"297","U",-1.1833,0.19023
"298","U",-1.0684,0.2095
"299","U",-1.0135,0.21085
"300","U",-0.5054,0.33239
"301","U",11.297,0.32694
"302","U",11.265,0.24116
"303","U",10.214,0.23371
"304","U",8.9815,0.22693
"305","U",8.7735,0.2421
"306","U",8.8023,0.2672
"307","U",7.2095,0.31524
"308","U",7.7307,0.334
"309","U",-3.5864,0.2502
"310","U",-1.2568,0.21385
"311","U",-1.2963,0.18626
"312","U",-1.1904,0.19154
"313","U",-1.1087,0.20569
"314","U",-1.0323,0.21367
"315","U",-0.93277,0.35397
"316","U",11.334,0.33325
"317","U",10.421,0.24625
"318","U",10.704,0.2314
"319","U",9.5899,0.23258
"320","U",8.3599,0.23698
"321","U",7.9458,0.25753
"322","U",7.9412,0.29271
"323","U",7.3339,0.35285
"324","U",-3.6207,0.25165
"325","U",-1.3346,0.19547
"326","U",-1.3315,0.18595
"327","U",-1.1911,0.19528
"328","U",-1.1528,0.20296
"329","U",-1.0676,0.21226
"330","U",-1.5778,0.40383
"331","U",11.671,0.34347
"332","U",10.552,0.2689
"333","U",9.8376,0.24547
"334","U",10.234,0.25273
"335","U",9.0393,0.25438
"336","U",7.8418,0.26155
"337","U",7.2865,0.29763
"338","U",7.8087,0.29638
"339","U",-3.6498,0.25927
"340","U",-1.3545,0.20553
"341","U",-1.3291,0.19306
"342","U",-1.1527,0.21124
"343","U",-1.155,0.21219
"344","U",-1.0594,0.22208
"345","U",-0.80155,0.34401
"346","U",11.326,0.33631
"347","U",10.749,0.25705
"348","U",9.6795,0.23487
"349","U",9.1262,0.24355
"350","U",9.5083,0.25573
"351","U",8.3215,0.26174
"352","U",7.2329,0.30446
"353","U",7.4102,0.315
"354","U",-3.6851,0.27562
"355","U",-1.4252,0.19821
"356","U",-1.3789,0.19355
"357","U",-1.1668,0.21554
"358","U",-1.1914,0.21563
"359","U",-1.072,0.23041
"360","U",-0.76059,0.34315
"361","U",11.891,0.32585
"362","U",10.606,0.25574
"363","U",9.9942,0.23659
"364","U",8.943,0.23811
"365","U",8.2626,0.24726
"366","U",8.7546,0.2644
"367","U",7.4623,0.27523
"368","U",7.1186,0.3175
"369","U",-3.6726,0.27146
"370","U",-1.5106,0.20086
"371","U",-1.4004,0.19557
"372","U",-1.1777,0.2211
"373","U",-1.2163,0.22172
"374","U",-1.0861,0.23951
"375","U",-0.19517,0.44064
"376","U",12.008,0.33403
"377","U",11.145,0.24698
"378","U",10.039,0.24863
"379","U",9.301,0.2406
"380","U",8.0854,0.24584
"381","U",7.4249,0.2638
"382","U",7.7974,0.2763
"383","U",6.5499,0.43182
"384","U",-3.6302,0.25959
"385","U",-1.5542,0.20266
"386","U",-1.4118,0.19749
"387","U",-1.2283,0.21581
"388","U",-1.2543,0.22419
"389","U",-1.1569,0.23155
"390","U",-0.72159,0.42199
"391","U",12.12,0.33536
"392","U",11.164,0.25916
"393","U",10.714,0.24793
"394","U",9.3485,0.25029
"395","U",8.5613,0.25975
"396","U",7.3921,0.26896
"397","U",6.7534,0.30695
"398","U",7.2707,0.35041
"399","U",-3.5896,0.25845
"400","U",-1.5697,0.20088
"401","U",-1.4432,0.19756
"402","U",-1.2761,0.21363
"403","U",-1.294,0.22642
"404","U",-1.1944,0.2343
"405","U",-0.8455,0.37479
"406","U",12.653,0.32689
"407","U",11.271,0.25683
"408","U",10.457,0.23714
"409","U",10.059,0.24526
"410","U",8.4389,0.24988
"411","U",7.6939,0.27515
"412","U",6.7216,0.3155
"413","U",6.8545,0.36542
"414","U",-3.5703,0.26243
"415","U",-1.6122,0.20393
"416","U",-1.4922,0.19859
"417","U",-1.3566,0.21061
"418","U",-1.3593,0.22489
"419","U",-1.2453,0.23622
"420","U",-0.98378,0.39813
"421","U",13.233,0.3513
"422","U",11.836,0.25305
"423","U",10.603,0.23755
"424","U",9.7887,0.23856
"425","U",9.4127,0.25787
"426","U",7.8214,0.27396
"427","U",6.9349,0.32452
"428","U",6.6942,0.38608
"429","U",-3.5496,0.26931
"430","U",-1.6834,0.21812
"431","U",-1.5713,0.20594
"432","U",-1.4664,0.22405
"433","U",-1.4606,0.22793
"434","U",-1.3268,0.23908
"435","U",-1.5565,0.39734
"436","U",12.551,0.37489
"437","U",12.273,0.26544
"438","U",11.216,0.24402
"439","U",10.041,0.24981
"440","U",9.3719,0.27612
"441","U",8.9757,0.29781
"442","U",7.4382,0.34045
"443","U",7.0082,0.36897
"444","U",-3.5432,0.274
"445","U",-1.7475,0.24215
"446","U",-1.6328,0.21778
"447","U",-1.5263,0.23748
"448","U",-1.5145,0.23325
"449","U",-1.3767,0.24549
"450","U",-1.5403,0.37736
"451","U",12.778,0.36138
"452","U",11.65,0.31471
"453","U",11.67,0.2773
"454","U",10.718,0.28046
"455","U",9.5464,0.29491
"456","U",8.8396,0.32885
"457","U",8.3876,0.36087
"458","U",7.4996,0.40223
"459","U",-3.5479,0.27619
"460","U",-1.7732,0.24829
"461","U",-1.6635,0.22505
"462","U",-1.5577,0.24542
"463","U",-1.5666,0.24087
"464","U",-1.433,0.25631
"465","U",-1.8229,0.48828
"466","U",12.91,0.33623
"467","U",11.952,0.27327
"468","U",10.977,0.25584
"469","U",10.967,0.25125
"470","U",10.078,0.26856
"471","U",8.937,0.29306
"472","U",8.2057,0.35022
"473","U",8.0618,0.34715
"474","U",-3.5525,0.27509
"475","U",-1.8024,0.24841
"476","U",-1.6964,0.22717
"477","U",-1.5884,0.24877
"478","U",-1.6178,0.24506
"479","U",-1.4901,0.26502
"480","U",-2.1117,0.4022
"481","U",12.489,0.36374
"482","U",12.043,0.25815
"483","U",11.232,0.24257
"484","U",10.282,0.2467
"485","U",10.274,0.26051
"486","U",9.4546,0.28336
"487","U",8.3552,0.33745
"488","U",8.2207,0.34183
"489","U",-3.5617,0.27463
"490","U",-1.8213,0.2466
"491","U",-1.7163,0.2267
"492","U",-1.5938,0.24455
"493","U",-1.663,0.24948
"494","U",-1.5251,0.26826
"495","U",-1.8023,0.38572
"496","U",12.573,0.33252
"497","U",11.492,0.26702
"498","U",11.451,0.24638
"499","U",10.682,0.25561
"500","U",9.7589,0.27085
"501","U",9.7224,0.28789
"502","U",8.9696,0.3327
"503","U",8.405,0.34884
"504","U",-3.5796,0.27482
"505","U",-1.8221,0.23814
"506","U",-1.7279,0.22525
"507","U",-1.592,0.24057
"508","U",-1.7018,0.25359
"509","U",-1.5482,0.26917
"510","U",-1.7221,0.38934
"511","U",11.99,0.33324
"512","U",11.818,0.26695
"513","U",10.813,0.24884
"514","U",10.79,0.24981
"515","U",10.025,0.2723
"516","U",9.1713,0.29358
"517","U",9.0867,0.33322
"518","U",8.7432,0.35361
"519","U",-3.5792,0.2785
"520","U",-1.8047,0.2226
"521","U",-1.737,0.22492
"522","U",-1.6033,0.24327
"523","U",-1.7544,0.26461
"524","U",-1.5832,0.27584
"525","U",-2.2763,0.39284
"526","U",12.746,0.34634
"527","U",11.19,0.26228
"528","U",11.163,0.24432
"529","U",10.037,0.24399
"530","U",10.114,0.26634
"531","U",9.3223,0.28867
"532","U",8.5391,0.34031
"533","U",9.0937,0.33296
"534","U",-3.5841,0.28356
"535","U",-1.796,0.2168
"536","U",-1.7514,0.22742
"537","U",-1.6085,0.24538
"538","U",-1.8071,0.27848
"539","U",-1.6186,0.28429
"540","U",-2.0957,0.38433
"541","U",12.794,0.32992
"542","U",11.803,0.25789
"543","U",10.559,0.24718
"544","U",10.523,0.25139
"545","U",9.4615,0.2687
"546","U",9.6262,0.30076
"547","U",8.7654,0.34029
"548","U",8.9305,0.33905
"549","U",-3.6223,0.29323
"550","U",-1.791,0.21528
"551","U",-1.7549,0.22803
"552","U",-1.5753,0.23766
"553","U",-1.8236,0.28086
"554","U",-1.6193,0.28092
"555","U",-1.5986,0.41308
"556","U",12.208,0.33
"557","U",12.084,0.25227
"558","U",11.191,0.24474
"559","U",10.055,0.26943
"560","U",9.8918,0.27341
"561","U",8.9989,0.30303
"562","U",8.9531,0.33971
"563","U",8.8574,0.35927
"564","U",-3.6285,0.30398
"565","U",-1.7787,0.21472
"566","U",-1.7547,0.23
"567","U",-1.563,0.23925
"568","U",-1.8394,0.28696
"569","U",-1.6633,0.29587
"570","U",-1.9088,0.40651
"571","U",12.202,0.34826
"572","U",11.477,0.25926
"573","U",11.567,0.23959
"574","U",10.567,0.25017
"575","U",9.1607,0.2738
"576","U",9.3153,0.30222
"577","U",8.3656,0.34895
"578","U",8.8552,0.35495
"579","U",-3.6232,0.31576
"580","U",-1.7428,0.21894
"581","U",-1.7183,0.22695
"582","U",-1.5704,0.2465
"583","U",-1.8448,0.29278
"584","U",-1.7195,0.32216
"585","U",-2.2259,0.41065
"586","U",12.811,0.38289
"587","U",11.559,0.28893
"588","U",11.085,0.27328
"589","U",11.128,0.26604
"590","U",9.9999,0.28476
"591","U",8.6016,0.31077
"592","U",8.7978,0.36216
"593","U",8.3756,0.40767
"594","U",-3.6051,0.33035
"595","U",-1.7016,0.2399
"596","U",-1.6671,0.23331
"597","U",-1.5533,0.2534
"598","U",-1.8142,0.2899
"599","U",-1.7514,0.3428
"600","U",-3.0999,0.42759
"601","U",12.748,0.70464
"602","U",12.014,0.34016
"603","U",11.018,0.31026
"604","U",10.503,0.30475
"605","U",10.522,0.31658
"606","U",9.4092,0.33933
"607","U",8.1181,0.38123
"608","U",8.6478,0.41075
"609","U",-3.5906,0.35069
"610","U",-1.702,0.26216
"611","U",-1.6514,0.25098
"612","U",-1.5425,0.26827
"613","U",-1.7931,0.29783
"614","U",-1.7625,0.3592
"615","U",-2.996,0.43829
"616","ssb",14634,2931.7
"617","ssb",13790,2535.9
"618","ssb",14012,2685.6
"619","ssb",15096,2943.1
"620","ssb",16109,2844.3
"621","ssb",15829,2357.7
"622","ssb",18312,2702.2
"623","ssb",16548,2635.5
"624","ssb",19339,3286.2
"625","ssb",14577,2332.6
"626","ssb",13997,2132
"627","ssb",9681.5,1446.6
"628","ssb",10333,1502
"629","ssb",10366,1540.8
"630","ssb",11706,1742.8
"631","ssb",11451,1792.9
"632","ssb",9434.3,1574.2
"633","ssb",8938.1,1582.2
"634","ssb",9992.5,1619.2
"635","ssb",9514.7,1675.9
"636","ssb",9151.1,1540.4
"637","ssb",7301.5,1413.8
"638","ssb",7454.7,1401.9
"639","ssb",6582.3,1142.1
"640","ssb",9467.6,1754.2
"641","ssb",11525,2207.9
"642","ssb",12582,2214.8
"643","ssb",20065,3599.4
"644","ssb",25597,4805.7
"645","ssb",25732,4998
"646","ssb",26865,5048.2
"647","ssb",26774,4880.2
"648","ssb",24021,4537.1
"649","ssb",21597,4075.8
"650","ssb",22789,4091.3
"651","ssb",20975,3768
"652","ssb",22726,4122.4
"653","ssb",20934,3703.7
"654","ssb",20236,3911.7
"655","ssb",24773,5252.9
"656","logssb",9.5911,0.20033
"657","logssb",9.5317,0.18389
"658","logssb",9.5477,0.19166
"659","logssb",9.6222,0.19496
"660","logssb",9.6871,0.17657
"661","logssb",9.6696,0.14895
"662","logssb",9.8153,0.14756
"663","logssb",9.714,0.15926
"664","logssb",9.8699,0.16993
"665","logssb",9.5872,0.16002
"666","logssb",9.5466,0.15232
"667","logssb",9.178,0.14942
"668","logssb",9.2431,0.14537
"669","logssb",9.2463,0.14863
"670","logssb",9.3679,0.14888
"671","logssb",9.3458,0.15658
"672","logssb",9.1521,0.16686
"673","logssb",9.0981,0.17702
"674","logssb",9.2096,0.16204
"675","logssb",9.1606,0.17614
"676","logssb",9.1216,0.16833
"677","logssb",8.8958,0.19363
"678","logssb",8.9166,0.18806
"679","logssb",8.7921,0.1735
"680","logssb",9.1556,0.18529
"681","logssb",9.3523,0.19157
"682","logssb",9.44,0.17604
"683","logssb",9.9067,0.17938
"684","logssb",10.15,0.18775
"685","logssb",10.155,0.19424
"686","logssb",10.199,0.18791
"687","logssb",10.195,0.18228
"688","logssb",10.087,0.18888
"689","logssb",9.9803,0.18872
"690","logssb",10.034,0.17953
"691","logssb",9.9511,0.17964
"692","logssb",10.031,0.18139
"693","logssb",9.9491,0.17692
"694","logssb",9.9152,0.1933
"695","logssb",10.118,0.21204
"696","logCatch",8.6633,0.20706
"697","logCatch",8.5145,0.15391
"698","logCatch",8.5772,0.15748
"699","logCatch",8.6506,0.16691
"700","logCatch",8.7196,0.14433
"701","logCatch",8.7542,0.11464
"702","logCatch",8.8266,0.11241
"703","logCatch",8.7774,0.11359
"704","logCatch",8.9174,0.12329
"705","logCatch",8.6851,0.11881
"706","logCatch",8.6825,0.117
"707","logCatch",8.5078,0.11392
"708","logCatch",8.3196,0.10439
"709","logCatch",8.5716,0.14422
"710","logCatch",8.3986,0.11573
"711","logCatch",8.4681,0.14109
"712","logCatch",8.4553,0.13401
"713","logCatch",8.3287,0.1314
"714","logCatch",8.2653,0.12563
"715","logCatch",8.2848,0.14112
"716","logCatch",8.0732,0.12198
"717","logCatch",8.0507,0.12334
"718","logCatch",7.9352,0.11253
"719","logCatch",7.8274,0.11248
"720","logCatch",7.908,0.1307
"721","logCatch",8.0793,0.1279
"722","logCatch",8.1362,0.12282
"723","logCatch",8.4815,0.14099
"724","logCatch",8.7515,0.16386
"725","logCatch",8.7222,0.15665
"726","logCatch",8.6699,0.13292
"727","logCatch",8.6861,0.12867
"728","logCatch",8.6813,0.11293
"729","logCatch",8.4806,0.11986
"730","logCatch",8.4351,0.11076
"731","logCatch",8.4897,0.12158
"732","logCatch",8.5571,0.13903
"733","logCatch",8.454,0.1253
"734","logCatch",8.5228,0.12391
"735","logCatch",8.6124,0.15512
"736","fbar",0.29284,0.055613
"737","fbar",0.28491,0.051749
"738","fbar",0.27664,0.048235
"739","fbar",0.27299,0.045517
"740","fbar",0.27652,0.042784
"741","fbar",0.28861,0.040373
"742","fbar",0.29458,0.039251
"743","fbar",0.3004,0.038971
"744","fbar",0.31,0.039954
"745","fbar",0.30891,0.039409
"746","fbar",0.31057,0.039171
"747","fbar",0.3097,0.038457
"748","fbar",0.31418,0.038744
"749","fbar",0.31508,0.039124
"750","fbar",0.31841,0.040263
"751","fbar",0.32082,0.041541
"752","fbar",0.32578,0.043814
"753","fbar",0.33414,0.047834
"754","fbar",0.33759,0.051265
"755","fbar",0.33009,0.050734
"756","fbar",0.32116,0.049916
"757","fbar",0.32583,0.054049
"758","fbar",0.31916,0.054722
"759","fbar",0.31395,0.055816
"760","fbar",0.29751,0.05264
"761","fbar",0.2854,0.050937
"762","fbar",0.26741,0.047786
"763","fbar",0.24272,0.045115
"764","fbar",0.2299,0.044413
"765","fbar",0.21932,0.044105
"766","fbar",0.20931,0.043605
"767","fbar",0.20344,0.042959
"768","fbar",0.1995,0.042401
"769","fbar",0.19319,0.042322
"770","fbar",0.1875,0.042346
"771","fbar",0.18881,0.041743
"772","fbar",0.18598,0.041858
"773","fbar",0.18172,0.042402
"774","fbar",0.18269,0.04282
"775","fbar",0.18396,0.043819
"776","logfbar",-1.2281,0.18991
"777","logfbar",-1.2556,0.18163
"778","logfbar",-1.2851,0.17436
"779","logfbar",-1.2983,0.16674
"780","logfbar",-1.2855,0.15472
"781","logfbar",-1.2427,0.13989
"782","logfbar",-1.2222,0.13324
"783","logfbar",-1.2026,0.12973
"784","logfbar",-1.1712,0.12888
"785","logfbar",-1.1747,0.12757
"786","logfbar",-1.1693,0.12612
"787","logfbar",-1.1722,0.12418
"788","logfbar",-1.1578,0.12332
"789","logfbar",-1.1549,0.12417
"790","logfbar",-1.1444,0.12645
"791","logfbar",-1.1369,0.12948
"792","logfbar",-1.1215,0.13449
"793","logfbar",-1.0962,0.14315
"794","logfbar",-1.0859,0.15186
"795","logfbar",-1.1084,0.1537
"796","logfbar",-1.1358,0.15543
"797","logfbar",-1.1214,0.16588
"798","logfbar",-1.1421,0.17145
"799","logfbar",-1.1585,0.17779
"800","logfbar",-1.2123,0.17694
"801","logfbar",-1.2539,0.17848
"802","logfbar",-1.319,0.1787
"803","logfbar",-1.4158,0.18587
"804","logfbar",-1.4701,0.19319
"805","logfbar",-1.5172,0.2011
"806","logfbar",-1.564,0.20833
"807","logfbar",-1.5924,0.21116
"808","logfbar",-1.612,0.21254
"809","logfbar",-1.6441,0.21907
"810","logfbar",-1.674,0.22585
"811","logfbar",-1.667,0.22109
"812","logfbar",-1.6821,0.22507
"813","logfbar",-1.7053,0.23333
"814","logfbar",-1.7,0.23439
"815","logfbar",-1.693,0.23819
"816","tsb",37396,6840.2
"817","tsb",37082,6854
"818","tsb",41108,7815.9
"819","tsb",42124,7903
"820","tsb",41450,6689.6
"821","tsb",45299,7119.8
"822","tsb",46737,7138.1
"823","tsb",45374,7250
"824","tsb",42515,6225.2
"825","tsb",38851,6058
"826","tsb",36815,5377.3
"827","tsb",28517,3805.2
"828","tsb",32585,6005.1
"829","tsb",30012,4397.1
"830","tsb",30933,4749
"831","tsb",30422,4771.1
"832","tsb",25510,3833.2
"833","tsb",24790,4129.1
"834","tsb",27492,4753.1
"835","tsb",23373,3566
"836","tsb",20714,3151.7
"837","tsb",21364,4033.9
"838","tsb",19955,3392.1
"839","tsb",23009,4479.5
"840","tsb",25459,4800.8
"841","tsb",29088,5634
"842","tsb",37796,7651.6
"843","tsb",67805,15751
"844","tsb",60932,11410
"845","tsb",63557,12216
"846","tsb",65021,11945
"847","tsb",56930,9953.1
"848","tsb",54033,9320.5
"849","tsb",43978,7320.2
"850","tsb",55479,10689
"851","tsb",56845,10328
"852","tsb",48323,7684.4
"853","tsb",46437,7712.9
"854","tsb",54905,11041
"855","tsb",56464,16321
"856","logtsb",10.529,0.18291
"857","logtsb",10.521,0.18484
"858","logtsb",10.624,0.19013
"859","logtsb",10.648,0.18761
"860","logtsb",10.632,0.16139
"861","logtsb",10.721,0.15717
"862","logtsb",10.752,0.15273
"863","logtsb",10.723,0.15978
"864","logtsb",10.658,0.14642
"865","logtsb",10.567,0.15593
"866","logtsb",10.514,0.14606
"867","logtsb",10.258,0.13344
"868","logtsb",10.392,0.18429
"869","logtsb",10.309,0.14651
"870","logtsb",10.34,0.15352
"871","logtsb",10.323,0.15683
"872","logtsb",10.147,0.15026
"873","logtsb",10.118,0.16657
"874","logtsb",10.222,0.17289
"875","logtsb",10.059,0.15257
"876","logtsb",9.9386,0.15215
"877","logtsb",9.9695,0.18882
"878","logtsb",9.9012,0.16999
"879","logtsb",10.044,0.19468
"880","logtsb",10.145,0.18857
"881","logtsb",10.278,0.19369
"882","logtsb",10.54,0.20245
"883","logtsb",11.124,0.2323
"884","logtsb",11.018,0.18725
"885","logtsb",11.06,0.1922
"886","logtsb",11.082,0.18371
"887","logtsb",10.95,0.17483
"888","logtsb",10.897,0.1725
