Year,Recruits Age 0 (Thousands) Mean,Recruits Age 0 (Thousands) Low,Recruits Age 0 (Thousands) High,Total biomass (tonnes) Mean,Total biomass (tonnes) Low,Total biomass (tonnes) High,Spawing biomass (tonnes) Mean,Spawing biomass (tonnes) Low,Spawing biomass (tonnes) High,Landings (tonnes) Mean,Landings (tonnes) Low,Landings (tonnes) High,Yield / SSB (ratio) Mean,Yield / SSB (ratio) Low,Yield / SSB (ratio) High,Mean F ages 3-6 Mean,Mean F ages 3-6 Low,Mean F ages 3-6 High,SoP (%),WG Catch
1991,1964994.492,1099245.287,3512594.865,993510.5898,676947.9056,1458108.2,542530.7257,355983.3361,826835.2995,66903.061,57943.75745,77247.65822,0.12331663,0.162770983,0.09342569,0.138983508,0.091468375,0.211181358,1.031529723,66229
1992,2796837.857,1572398.628,4974757.581,893587.9126,602618.7377,1325049.003,470711.1899,304996.6281,726463.8488,58454.26894,50852.43061,67192.4924,0.124182875,0.166731124,0.092492548,0.130067725,0.084988817,0.199056933,1.002430959,60841
1993,2706048.471,1508676.901,4853722.042,952647.2812,632613.4177,1434583.613,536059.2634,343244.397,837186.3792,64408.44261,56265.25707,73730.17909,0.12015172,0.163921851,0.088069014,0.137435577,0.088490932,0.213451679,0.993216177,68541
1994,3181934.808,1794697.066,5641458.56,826537.0311,550992.2375,1239878.563,418737.7048,268158.9552,653870.6317,54122.21451,47012.92863,62306.56522,0.129250874,0.175317392,0.095288827,0.127964807,0.082143037,0.19934729,0.999855172,58338
1995,2024837.483,1134455.321,3614039.934,733072.5846,490394.1821,1095843.78,334368.8487,213894.3756,522699.7048,55326.09739,47966.92165,63814.33177,0.16546427,0.22425518,0.12208603,0.136777467,0.088086182,0.212383771,0.974824376,57367
1996,2404854.594,1371265.234,4217510.572,620325.7362,420654.5376,914774.4398,340782.5944,220987.0983,525518.3564,56726.68421,48938.98906,65753.64068,0.16646004,0.221456318,0.125121492,0.159901065,0.103451415,0.247153223,1.023308259,58639
1997,3054113.719,1733304.742,5381402.576,634758.5695,431912.1975,932871.1804,273211.0903,177436.6282,420681.4603,66171.16017,57474.55229,76183.67196,0.242197929,0.32391594,0.181095863,0.218755634,0.14172017,0.337665608,1.003290291,62458
1998,2774552.414,1534157.61,5017829.361,717121.0975,480250.1534,1070822.497,346278.9697,223173.5949,537290.8248,72258.12092,62430.39406,83632.9182,0.208670255,0.27973916,0.155656703,0.229511992,0.147530374,0.357050232,0.999406683,72248
1999,2673769.948,1452210.157,4922872.699,724328.2843,471540.3711,1112633.182,369165.3775,232880.89,585205.0631,50211.53198,42953.87223,58695.47524,0.136013654,0.184445672,0.100298987,0.133200469,0.083780282,0.211772562,0.999821076,55845
2000,4130875.798,2282062.963,7477503.967,800506.555,518371.9947,1236198.62,338744.0207,213589.665,537233.4452,40014.61334,34577.09266,46307.22706,0.118126405,0.161885607,0.086195726,0.106012316,0.066452492,0.169122496,0.999047852,43008
2001,3265749.989,1808593.447,5896915.644,861129.3462,559698.0943,1324899.546,477825.0785,303763.5252,751626.7976,40094.72265,34672.26615,46365.20664,0.08391088,0.114142296,0.061686474,0.097217942,0.06094582,0.155077545,1.002819707,40007
2002,3298571.322,1823836.486,5965761.102,944111.9224,617276.291,1444000.58,536059.2634,340837.6694,843097.9311,48922.85751,41966.13406,57032.79658,0.091263897,0.123126455,0.067646704,0.111726652,0.069974079,0.178392411,0.999762968,50740
2003,2065741.914,1128454.55,3781534.358,924492.2991,600139.8558,1424144.727,554598.6622,351204.5162,875785.0823,43782.96089,37892.73485,50588.79156,0.078945306,0.107893643,0.057763934,0.087108571,0.054360516,0.139584825,1.002123814,44583
2004,2224404.951,1222772.77,4046522.386,797310.9243,516849.3922,1229961.222,486990.5513,307389.3303,771529.0469,41315.78875,35766.79972,47725.66774,0.084838995,0.116356673,0.06185855,0.079890367,0.049643391,0.128566371,1.011931593,40186
2005,1815733.362,1000904.651,3293907.803,738222.095,478817.6907,1138161.501,443299.1042,281775.9696,697412.5441,28911.65269,25135.99094,33254.45427,0.06521929,0.089205588,0.047682616,0.063045411,0.039425613,0.100815779,1.002106752,30360
2006,1893618.298,1032099.464,3474268.114,788588.565,511866.9464,1214909.322,469301.1724,296194.7334,743576.9972,44756.85964,39157.5903,51156.78645,0.095369162,0.132202183,0.068798237,0.094912487,0.059498201,0.151405926,0.998952105,46539
2007,1372301.753,720406.9935,2614094.699,765282.2508,488982.1184,1197706.217,498321.1362,311077.2025,798271.1455,44846.46293,39265.21769,51221.03876,0.089995105,0.126223386,0.064164963,0.099579396,0.061752032,0.160578622,0.998988019,47407
2008,1559693.678,807228.133,3013577.292,713544.4411,443183.6842,1148836.673,473543.9468,288432.9705,777455.7436,29732.61885,25990.4697,34013.56858,0.062787454,0.090109219,0.043749845,0.06946724,0.041933158,0.115080707,1.00084041,29394
2009,2045187.438,1033609.083,4046782.99,727958.995,438779.1981,1207724.296,437573.5128,258340.665,741155.4008,30607.48911,26665.60149,35132.09292,0.069948222,0.103218754,0.04740179,0.072418028,0.042460358,0.123512168,1.031236161,28976
2010,3054113.719,1491754.05,6252780.483,753888.6824,440223.9264,1291043.288,401916.6469,231228.6669,698602.7865,29114.74425,25345.82244,33444.10444,0.072439757,0.109613668,0.047872847,0.083676258,0.047707188,0.146764385,0.996022511,30118
2011,2032953.053,985396.7195,4194146.413,664639.4552,377862.1781,1169065.419,332701.1771,186121.3203,594720.0086,24834.77084,21536.28099,28638.45631,0.074645876,0.115710983,0.04815452,0.069969209,0.038804883,0.126161708,0.999184739,24678
2012,1393041.439,658933.5673,2945007.73,658684.5374,367222.79,1181477.108,390428.4481,213317.2984,714589.8352,24735.63017,21079.82793,29025.44564,0.063355092,0.098819121,0.04061833,0.061568802,0.033403306,0.113483299,1.001676566,25087
2013,783087.7205,355714.7412,1723927.369,559612.579,306828.5495,1020655.474,321901.2177,170764.0401,606804.535,26449.69749,22560.10049,31009.90163,0.082167125,0.132112712,0.051103609,0.074601102,0.039649363,0.140363527,0.997801648,26947
2014,812604.6623,345969.673,1908624.913,455431.2267,242620.0698,854907.0256,270492.5946,139037.8671,526232.4951,25719.37814,22008.97228,30055.3067,0.095083483,0.158294807,0.057114122,0.076161439,0.039501304,0.146844893,1.009091472,27123
2015,769118.244,225235.8152,2626326.868,418737.7048,212863.8418,823724.9874,250196.0276,125175.6463,500081.718,20040.28948,17372.15368,23118.21607,0.080098352,0.138782217,0.046228877,0.070948572,0.035616866,0.141329109,0.998233291,19885
