Survey,Year,Quarter,SpecCode,Genus,Family,IndexArea,Sex,PlusGr,Age_0,Age_1,Age_2,Age_3,Age_4,Age_5,Age_6,Age_7,Age_8,Age_9,Age_10,Age_11,Age_12,Age_13,Age_14,Age_15
NS-IBTS,1992,3,161789,Sprattus,sprattus,NS_SpratIV,,6,20.358,2430.014,2024.156,120.251,19.763,1.420,0.123,,,,,,,,,
NS-IBTS,1992,4,161789,Sprattus,sprattus,NS_SpratIV,,6,1598.406,4503.094,1583.085,102.786,31.187,7.918,0.045,,,,,,,,,
NS-IBTS,1993,1,161789,Sprattus,sprattus,NS_SpratIV,,6,0.000,1066.829,568.530,118.416,6.074,0.295,0.043,,,,,,,,,
NS-IBTS,1993,1,161789,Sprattus,sprattus,NS_SpratIIIa,,6,0.000,1589.922,4168.612,907.426,199.320,228.456,11.188,,,,,,,,,
NS-IBTS,1993,2,161789,Sprattus,sprattus,NS_SpratIV,,6,0.000,3925.432,3195.317,320.604,11.430,0.337,2.763,,,,,,,,,
NS-IBTS,1993,3,161789,Sprattus,sprattus,NS_SpratIIIa,,6,0.670,309.005,1719.960,260.699,50.676,1.268,4.828,,,,,,,,,
NS-IBTS,1993,3,161789,Sprattus,sprattus,NS_SpratIV,,6,7.463,1423.787,1540.570,317.351,13.394,0.011,0.000,,,,,,,,,
NS-IBTS,1993,4,161789,Sprattus,sprattus,NS_SpratIV,,6,1504.634,5341.083,1708.785,64.460,0.188,0.603,0.033,,,,,,,,,
NS-IBTS,1994,1,161789,Sprattus,sprattus,NS_SpratIIIa,,6,0.000,1788.861,715.839,1050.865,312.646,49.423,20.689,,,,,,,,,
NS-IBTS,1994,1,161789,Sprattus,sprattus,NS_SpratIV,,6,0.000,2428.357,938.159,92.161,3.593,0.023,0.481,,,,,,,,,
NS-IBTS,1994,2,161789,Sprattus,sprattus,NS_SpratIV,,6,0.277,1370.930,635.410,209.854,11.893,0.000,0.000,,,,,,,,,
NS-IBTS,1994,3,161789,Sprattus,sprattus,NS_SpratIIIa,,6,103.313,9945.215,95.214,73.749,7.061,0.000,0.098,,,,,,,,,
NS-IBTS,1994,3,161789,Sprattus,sprattus,NS_SpratIV,,6,3.485,2441.067,333.210,80.242,7.014,0.000,0.036,,,,,,,,,
NS-IBTS,1994,4,161789,Sprattus,sprattus,NS_SpratIV,,6,20.630,5222.404,3634.340,387.359,0.127,0.000,0.716,,,,,,,,,
NS-IBTS,1995,1,161789,Sprattus,sprattus,NS_SpratIV,,6,0.000,1224.891,1036.404,87.329,2.516,0.606,0.158,,,,,,,,,
NS-IBTS,1995,1,161789,Sprattus,sprattus,NS_SpratIIIa,,6,0.000,2204.074,1769.532,35.185,44.960,4.227,0.000,,,,,,,,,
NS-IBTS,1995,2,161789,Sprattus,sprattus,NS_SpratIV,,6,7.926,1601.006,3750.033,1564.288,33.381,7.787,0.000,,,,,,,,,
NS-IBTS,1995,3,161789,Sprattus,sprattus,NS_SpratIIIa,,6,0.000,13295.422,648.803,90.338,90.730,15.184,2.854,,,,,,,,,
NS-IBTS,1995,3,161789,Sprattus,sprattus,NS_SpratIV,,6,0.000,729.862,2067.469,1064.508,12.338,0.485,0.000,,,,,,,,,
NS-IBTS,1995,4,161789,Sprattus,sprattus,NS_SpratIV,,6,328.893,4112.082,3406.983,817.399,75.078,9.754,9.639,,,,,,,,,
NS-IBTS,1996,1,161789,Sprattus,sprattus,NS_SpratIIIa,,6,0.000,199.300,5515.416,692.782,111.980,162.661,11.090,,,,,,,,,
NS-IBTS,1996,1,161789,Sprattus,sprattus,NS_SpratIV,,6,0.000,186.131,383.534,146.839,18.284,0.744,0.000,,,,,,,,,
